linear.pvalue quadratic.pvalue linear.boost.stat quadratic.boost.stat linear.true.stat quadratic.true.stat
1 1 0.000504480739190449 0.0267682384872893 0.000422691713255285 0.0258889336052018
1 0 0.00225106731992286 0.0755615678406399 0.00162831627394123 0.0761884026113118
0 0 0.000525056082352162 0.035317371673029 0.00058414731177861 0.0363394464154882
0 1 0.000305436773376869 0.0646502196692112 0.00069759832079943 0.0634615908265432
0 0 0.000187273962483272 0.0256220599673002 0.000308283519422027 0.0262297703395873
1 1 0.00128774265621704 0.0228580047906612 0.00102150583313023 0.0220302010800785
1 1 0.000914454798250144 0.0403402711774146 0.000724239081935589 0.0392822290094814
0 1 0.000286766219992081 0.0151921393010398 0.000340393202666934 0.0140830105607996
1 1 0.000537103011116045 0.0618178889553391 0.000122959060908291 0.0604917045457134
0 1 0.000231027018328465 0.0367831421900526 0.000267514522206563 0.0361091035304538
0 0 0.00231378453709712 0.0541946108463973 0.00286293778142499 0.0563558579157919
1 0 0.000165167618507496 0.0203564153769439 7.30734905557392e-05 0.020597094273996
1 0 0.000443550398551526 0.0293109488268816 0.000437689460739448 0.0295335382772488
0 1 0.00331744418344565 0.0728077405752016 0.00423478366972146 0.0695350889489281
1 1 0.00021382512127541 0.0193368850924055 0.000196244752361047 0.0191006113935452
0 0 0.000277961824868776 0.0392165068245406 0.000301090764624158 0.0416826560364688
1 1 0.000812605724311808 0.0304088752730278 0.000405917671413922 0.0292568311928082
0 0 0.000577140202686124 0.0459307648210179 0.000941235882155337 0.0475603854307401
1 1 0.00152338264631399 0.0567384757598599 0.00130442872315729 0.0556718100279062
0 0 0.000687158048186672 0.040056209819005 0.000761590953434433 0.0407203744117714
0 0 0.000182927765043492 0.0752505747913058 0.000966904829484759 0.0776370736640504
1 1 0.00113823997751203 0.0193556230095587 0.000890988667827306 0.0175512431460484
0 1 0.000684274586193948 0.0387079824319102 0.000710860543579728 0.0386958632169369
1 0 0.000848956224389726 0.0171796252466784 0.000440623907184742 0.0181028683631756
1 0 0.00158834047049917 0.0375078017595997 0.00158148269498249 0.0388417602770796
0 1 0.00145008816937029 0.0603466940691781 0.00156889942119045 0.0601354887721262
1 1 0.000546653696643729 0.0419475782174889 0.000338653109639165 0.0412526756435078
0 1 0.000486156620702174 0.0247907995889187 0.000544338725642309 0.0247767907240685
0 0 4.69395385433114e-05 0.0344484239327842 0.000131936863190671 0.0354516627424687
1 0 0.00515992123448147 0.0738226540192944 0.00409644376742289 0.0789422887185978
0 1 0.00065048169158613 0.0507512984209803 0.000861680049129854 0.0500120887798405
0 0 0.000659919000170224 0.0786307133350313 0.000754543755298994 0.0786395447260873
1 0 0.000263614897444066 0.0297291383036646 7.93612427721936e-05 0.0311778665062539
1 1 0.000196151404061982 0.0282794361661386 8.64252854490201e-05 0.0270652487083043
0 1 0.000143850107945985 0.0103971730570748 0.000339804677911429 0.00980656406906801
0 1 0.000478837271282394 0.0401295321296245 0.000909063029409377 0.0394560278131906
