intercept,linear,polynomial p=2,polynomial p=3,rbf l=0.6,rbf l=1,rbf l=2,rbf l=3,generate.method
0,0,0.8396,0,0,0,0.1604,0,linear
0,4.00E-04,0.9996,0,0,0,0,0,linear
0,2.00E-04,0.9998,0,0,0,0,0,linear
0,0,0.8915,0,0,0,0.1085,0,linear
0,0,0.9285,0.0715,0,0,0,0,linear
0,0.0014,0.7862,0,0,0,0.2124,0,linear
0,0,0.9648,0,0.0352,0,0,0,linear
0,0.0035,0.9945,0,0.002,0,0,0,linear
0,0.0369,0.8143,0,0,0,0.1487,0,linear
0,0,0.9626,0.029,0,0,0.0085,0,linear
0,0.001,0.7966,0.0994,0,0,0.1031,0,linear
0,0.4263,0.0095,0.5643,0,0,0,0,linear
0,0.0039,0.8807,0,0.0159,0,0.0995,0,linear
0,0.0041,0.8414,0,0,0,0,0.1545,linear
0,0,0.8226,0,0,0.1774,0,0,linear
0,0.0073,0.8333,0,0,0,0.1594,0,linear
0,0,0.8101,0.0922,0.0334,0.0643,0,0,linear
0,0.6437,0.3563,0,0,0,0,0,linear
0,0.6701,0.3299,0,0,0,0,0,linear
0,0,0.1947,0.1959,0,0,0.6094,0,linear
0,0,0.9897,0,0.0103,0,0,0,polynomial
0,0,1,0,0,0,0,0,polynomial
0,0,0.9298,0,0,0,0,0.0702,polynomial
0,0,0.4307,0.4562,0,0,0,0.1131,polynomial
0,0,0.5773,0.4227,0,0,0,0,polynomial
0,0,0.9565,0,0.0435,0,0,0,polynomial
0,0,0.9889,0,0.0111,0,0,0,polynomial
0,0.0092,0.6139,0.3577,0,0,0.0192,0,polynomial
0,0,0.9257,0,0.0641,0,0.0102,0,polynomial
0,0,0.7392,0,0.0495,0.0213,0,0.19,polynomial
0,2.00E-04,0.9255,0,0,0,0,0.0743,polynomial
0,0,0.663,0.2293,0,0,0.1077,0,polynomial
0,0,0.8173,0,0,0,0,0.1827,polynomial
7.00E-04,0,0.8688,0,0,0,0.1305,0,polynomial
0,0,0.9339,0.0661,0,0,0,0,polynomial
0,0,0.9855,0,0.0145,0,0,0,polynomial
9.00E-04,0,0.8835,0.1016,0,0.0139,0,0,polynomial
0,0,0.5262,0.4738,0,0,0,0,polynomial
0,0,0.8795,0,0,0.1205,0,0,polynomial
0,0,0.8014,0,0,0.1552,0.0434,0,polynomial
0,0.0171,0.0016,0,0,0.8883,0,0.093,rbf
0,0.0403,0.0371,0.0526,0,0.1743,0.6956,0,rbf
0,0,0.0404,0,0.2167,0.4248,0.3181,0,rbf
0,0.0045,0,0,0.0428,0.5812,0.3716,0,rbf
0,0.0183,0.0439,0.0071,0.0321,0.089,0.6975,0.1121,rbf
0,0,0.0714,0,0,0.6771,0.2418,0.0098,rbf
0,0.0015,0,0,0.287,0.2341,0.4775,0,rbf
0,0,0,0.0282,0.0829,0.5201,0.3687,0,rbf
0,0,0,0.0162,0,0.7097,0.2372,0.0369,rbf
0,0,0.0414,0.0019,0,0.1909,0.7658,0,rbf
0,0.0057,0,0,0,0.9571,0.0372,0,rbf
0,0.0164,0.0356,0,0,0.3551,0.5929,0,rbf
0,0,0.0124,0,0,0.5877,0.3999,0,rbf
8.00E-04,0.0014,0.0172,0,0.0269,0.7968,0.157,0,rbf
0,0.0107,0,0,0.3224,0.1105,0.5565,0,rbf
0,0,0.0362,0,0.0803,0,0.8825,0.001,rbf
0,0,0,0,0.0428,0.806,0.0461,0.1051,rbf
0,0,0.1181,0.0059,0.15,0.4344,0.2916,0,rbf
0.006,0,0.015,0,0.0146,0.3318,0.6326,0,rbf
0,0.021,0.0233,0,0,0.0681,0.8876,0,rbf
