intercept,linear,polynomial p=2,polynomial p=3,rbf l=0.6,rbf l=1,rbf l=2,rbf l=3,generate.method
0.4141,0,0.3583,0,0.2276,0,0,0,linear
0.2696,0,0.4019,0,0.3286,0,0,0,linear
0.4691,0,0,0,0.5309,0,0,0,linear
1,0,0,0,0,0,0,0,linear
0.6525,0,0,0,0.0955,0.252,0,0,linear
0.3331,0,0.0188,0,0.5525,0,0.0955,0,linear
0.4027,0,0,0,0.5973,0,0,0,linear
0.1114,0,0.3808,0,0,0.2489,0.2588,0,linear
0.6953,0,0,0.1375,0.1672,0,0,0,linear
0.3696,0,0,0.1539,0,0.4765,0,0,linear
0,0,0.301,0,0.1852,0.5138,0,0,linear
0.5281,0,0.3655,0,0.1064,0,0,0,linear
0.4838,0,0,0,0.013,0,0.5032,0,linear
0.0861,0,0,0.7159,0.1981,0,0,0,linear
0.5863,0,0,0,0.4137,0,0,0,linear
0.1078,0,0,0.2118,0.4486,0.2319,0,0,linear
0.454,0,0.2013,0,0,0.3446,0,0,linear
0,0,0,0.1625,0.8375,0,0,0,linear
0.7149,0,0,0,0,0,0.2851,0,linear
0,0,0,0,0,1,0,0,linear
1,0,0,0,0,0,0,0,polynomial
0.6802,0,0,0,0.3198,0,0,0,polynomial
0.4747,0,0,0,0,0.5253,0,0,polynomial
1,0,0,0,0,0,0,0,polynomial
0.9547,0,0,0,0.0453,0,0,0,polynomial
0.2867,0,0,0,0,0.7133,0,0,polynomial
1,0,0,0,0,0,0,0,polynomial
0.6975,0,0,0,0.3025,0,0,0,polynomial
0.8701,0,0,0,0.1299,0,0,0,polynomial
1,0,0,0,0,0,0,0,polynomial
0.0315,0,0,0,0,0.9685,0,0,polynomial
0.4107,0,0,0,0.5893,0,0,0,polynomial
1,0,0,0,0,0,0,0,polynomial
1,0,0,0,0,0,0,0,polynomial
1,0,0,0,0,0,0,0,polynomial
0.0354,0,0,0,0.9646,0,0,0,polynomial
1,0,0,0,0,0,0,0,polynomial
0,0,0,0,1,0,0,0,polynomial
0.2867,0,0,0,0.5774,0.1358,0,0,polynomial
0.7713,0,0,0,0.2287,0,0,0,polynomial
0,1,0,0,0,0,0,0,rbf
1,0,0,0,0,0,0,0,rbf
1,0,0,0,0,0,0,0,rbf
1,0,0,0,0,0,0,0,rbf
0.2501,0.7499,0,0,0,0,0,0,rbf
1,0,0,0,0,0,0,0,rbf
1,0,0,0,0,0,0,0,rbf
1,0,0,0,0,0,0,0,rbf
1,0,0,0,0,0,0,0,rbf
1,0,0,0,0,0,0,0,rbf
1,0,0,0,0,0,0,0,rbf
1,0,0,0,0,0,0,0,rbf
1,0,0,0,0,0,0,0,rbf
1,0,0,0,0,0,0,0,rbf
1,0,0,0,0,0,0,0,rbf
1,0,0,0,0,0,0,0,rbf
1,0,0,0,0,0,0,0,rbf
0.4632,0.5368,0,0,0,0,0,0,rbf
0,0,0,0,0,0,0,1,rbf
1,0,0,0,0,0,0,0,rbf
