V1,V2,V3,V4,V5,V6
50,linear,0,loocv,loocv,0.035
50,linear,0,loocv,average,0
50,linear,0,AICc,loocv,0.03
50,linear,0,AICc,average,0.04
50,linear,0,GCVc,loocv,0.035
50,linear,0,GCVc,average,0
50,linear,0,gmpml,loocv,0.045
50,linear,0,gmpml,average,0
50,linear,0.1,loocv,loocv,0.63
50,linear,0.1,loocv,average,0.015
50,linear,0.1,AICc,loocv,0.665
50,linear,0.1,AICc,average,0.81
50,linear,0.1,GCVc,loocv,0.75
50,linear,0.1,GCVc,average,0.145
50,linear,0.1,gmpml,loocv,0.865
50,linear,0.1,gmpml,average,0
50,linear,0.2,loocv,loocv,0.73
50,linear,0.2,loocv,average,0.13
50,linear,0.2,AICc,loocv,0.83
50,linear,0.2,AICc,average,0.985
50,linear,0.2,GCVc,loocv,0.855
50,linear,0.2,GCVc,average,0.445
50,linear,0.2,gmpml,loocv,0.92
50,linear,0.2,gmpml,average,0.02
50,linear,0.3,loocv,loocv,0.72
50,linear,0.3,loocv,average,0.255
50,linear,0.3,AICc,loocv,0.865
50,linear,0.3,AICc,average,1
50,linear,0.3,GCVc,loocv,0.83
50,linear,0.3,GCVc,average,0.69
50,linear,0.3,gmpml,loocv,0.85
50,linear,0.3,gmpml,average,0.035
50,rbf,0,loocv,loocv,0.02
50,rbf,0,loocv,average,0
50,rbf,0,AICc,loocv,0.05
50,rbf,0,AICc,average,0.03
50,rbf,0,GCVc,loocv,0.005
50,rbf,0,GCVc,average,0.01
50,rbf,0,gmpml,loocv,0.01
50,rbf,0,gmpml,average,0
50,rbf,0.1,loocv,loocv,0.155
50,rbf,0.1,loocv,average,0.01
50,rbf,0.1,AICc,loocv,0.255
50,rbf,0.1,AICc,average,0.23
50,rbf,0.1,GCVc,loocv,0.195
50,rbf,0.1,GCVc,average,0.075
50,rbf,0.1,gmpml,loocv,0.245
50,rbf,0.1,gmpml,average,0.01
50,rbf,0.2,loocv,loocv,0.24
50,rbf,0.2,loocv,average,0.055
50,rbf,0.2,AICc,loocv,0.185
50,rbf,0.2,AICc,average,0.32
50,rbf,0.2,GCVc,loocv,0.205
50,rbf,0.2,GCVc,average,0.13
50,rbf,0.2,gmpml,loocv,0.285
50,rbf,0.2,gmpml,average,0.035
50,rbf,0.3,loocv,loocv,0.22
50,rbf,0.3,loocv,average,0.065
50,rbf,0.3,AICc,loocv,0.175
50,rbf,0.3,AICc,average,0.265
50,rbf,0.3,GCVc,loocv,0.195
50,rbf,0.3,GCVc,average,0.155
50,rbf,0.3,gmpml,loocv,0.345
50,rbf,0.3,gmpml,average,0.055
50,polynomial,0,loocv,loocv,0.075
50,polynomial,0,loocv,average,0
50,polynomial,0,AICc,loocv,0.055
50,polynomial,0,AICc,average,0.15
50,polynomial,0,GCVc,loocv,0.05
50,polynomial,0,GCVc,average,0
50,polynomial,0,gmpml,loocv,0.075
50,polynomial,0,gmpml,average,0
50,polynomial,0.1,loocv,loocv,0.255
50,polynomial,0.1,loocv,average,0.01
50,polynomial,0.1,AICc,loocv,0.365
50,polynomial,0.1,AICc,average,0.335
50,polynomial,0.1,GCVc,loocv,0.365
50,polynomial,0.1,GCVc,average,0.035
50,polynomial,0.1,gmpml,loocv,0.435
50,polynomial,0.1,gmpml,average,0
50,polynomial,0.2,loocv,loocv,0.185
50,polynomial,0.2,loocv,average,0.04
50,polynomial,0.2,AICc,loocv,0.375
50,polynomial,0.2,AICc,average,0.58
50,polynomial,0.2,GCVc,loocv,0.435
50,polynomial,0.2,GCVc,average,0.15
50,polynomial,0.2,gmpml,loocv,0.43
50,polynomial,0.2,gmpml,average,0.005
50,polynomial,0.3,loocv,loocv,0.17
50,polynomial,0.3,loocv,average,0.095
50,polynomial,0.3,AICc,loocv,0.395
50,polynomial,0.3,AICc,average,0.635
50,polynomial,0.3,GCVc,loocv,0.38
50,polynomial,0.3,GCVc,average,0.235
50,polynomial,0.3,gmpml,loocv,0.34
50,polynomial,0.3,gmpml,average,0.005
100,linear,0,loocv,loocv,0.04
100,linear,0,loocv,average,0.02
100,linear,0,AICc,loocv,0.05
100,linear,0,AICc,average,0.005
100,linear,0,GCVc,loocv,0.03
100,linear,0,GCVc,average,0.01
100,linear,0,gmpml,loocv,0.03
100,linear,0,gmpml,average,0.025
100,linear,0.1,loocv,loocv,0.875
100,linear,0.1,loocv,average,0.75
100,linear,0.1,AICc,loocv,0.875
100,linear,0.1,AICc,average,0.965
100,linear,0.1,GCVc,loocv,0.9
100,linear,0.1,GCVc,average,0.825
100,linear,0.1,gmpml,loocv,0.96
100,linear,0.1,gmpml,average,0.615
100,linear,0.2,loocv,loocv,0.9
100,linear,0.2,loocv,average,0.975
100,linear,0.2,AICc,loocv,0.935
100,linear,0.2,AICc,average,1
100,linear,0.2,GCVc,loocv,0.96
100,linear,0.2,GCVc,average,0.985
100,linear,0.2,gmpml,loocv,0.975
100,linear,0.2,gmpml,average,1
100,linear,0.3,loocv,loocv,0.95
100,linear,0.3,loocv,average,1
100,linear,0.3,AICc,loocv,0.94
100,linear,0.3,AICc,average,1
100,linear,0.3,GCVc,loocv,0.965
100,linear,0.3,GCVc,average,1
100,linear,0.3,gmpml,loocv,0.965
100,linear,0.3,gmpml,average,1
100,rbf,0,loocv,loocv,0.05
100,rbf,0,loocv,average,0.01
100,rbf,0,AICc,loocv,0.01
100,rbf,0,AICc,average,0.025
100,rbf,0,GCVc,loocv,0.05
100,rbf,0,GCVc,average,0.02
100,rbf,0,gmpml,loocv,0.05
100,rbf,0,gmpml,average,0.03
100,rbf,0.1,loocv,loocv,0.475
100,rbf,0.1,loocv,average,0.395
100,rbf,0.1,AICc,loocv,0.605
100,rbf,0.1,AICc,average,0.54
100,rbf,0.1,GCVc,loocv,0.575
100,rbf,0.1,GCVc,average,0.455
100,rbf,0.1,gmpml,loocv,0.645
100,rbf,0.1,gmpml,average,0.48
100,rbf,0.2,loocv,loocv,0.56
100,rbf,0.2,loocv,average,0.565
100,rbf,0.2,AICc,loocv,0.67
100,rbf,0.2,AICc,average,0.75
100,rbf,0.2,GCVc,loocv,0.7
100,rbf,0.2,GCVc,average,0.635
100,rbf,0.2,gmpml,loocv,0.715
100,rbf,0.2,gmpml,average,0.65
100,rbf,0.3,loocv,loocv,0.55
100,rbf,0.3,loocv,average,0.62
100,rbf,0.3,AICc,loocv,0.64
100,rbf,0.3,AICc,average,0.755
100,rbf,0.3,GCVc,loocv,0.62
100,rbf,0.3,GCVc,average,0.675
100,rbf,0.3,gmpml,loocv,0.805
100,rbf,0.3,gmpml,average,0.68
100,polynomial,0,loocv,loocv,0.045
100,polynomial,0,loocv,average,0.015
100,polynomial,0,AICc,loocv,0.04
100,polynomial,0,AICc,average,0.03
100,polynomial,0,GCVc,loocv,0.05
