method p l int.effect mode strategy n power
polynomial 1 0.5 0 loocv erm 100 0.04 
polynomial 1 0.5 0 loocv average 100 0.02 
polynomial 1 0.5 0 AICc erm 100 0.06 
polynomial 1 0.5 0 AICc average 100 0.045 
polynomial 1 0.5 0 GCVc erm 100 0.045 
polynomial 1 0.5 0 GCVc average 100 0.015 
polynomial 1 0.5 0 gmpml erm 100 0.05 
polynomial 1 0.5 0 gmpml average 100 0.02 
polynomial 1 0.5 0.1 loocv erm 100 0.97 
polynomial 1 0.5 0.1 loocv average 100 0.715 
polynomial 1 0.5 0.1 AICc erm 100 0.99 
polynomial 1 0.5 0.1 AICc average 100 0.935 
polynomial 1 0.5 0.1 GCVc erm 100 1 
polynomial 1 0.5 0.1 GCVc average 100 0.74 
polynomial 1 0.5 0.1 gmpml erm 100 0.985 
polynomial 1 0.5 0.1 gmpml average 100 0.615 
polynomial 1 0.5 0.2 loocv erm 100 0.97 
polynomial 1 0.5 0.2 loocv average 100 0.97 
polynomial 1 0.5 0.2 AICc erm 100 1 
polynomial 1 0.5 0.2 AICc average 100 1 
polynomial 1 0.5 0.2 GCVc erm 100 0.985 
polynomial 1 0.5 0.2 GCVc average 100 0.965 
polynomial 1 0.5 0.2 gmpml erm 100 1 
polynomial 1 0.5 0.2 gmpml average 100 0.945 
polynomial 1 0.5 0.3 loocv erm 100 0.95 
polynomial 1 0.5 0.3 loocv average 100 0.995 
polynomial 1 0.5 0.3 AICc erm 100 0.985 
polynomial 1 0.5 0.3 AICc average 100 1 
polynomial 1 0.5 0.3 GCVc erm 100 0.995 
polynomial 1 0.5 0.3 GCVc average 100 0.985 
polynomial 1 0.5 0.3 gmpml erm 100 0.98 
polynomial 1 0.5 0.3 gmpml average 100 1 
polynomial 2 1 0 loocv erm 100 0.07 
polynomial 2 1 0 loocv average 100 0.03 
polynomial 2 1 0 AICc erm 100 0.07 
polynomial 2 1 0 AICc average 100 0.095 
polynomial 2 1 0 GCVc erm 100 0.075 
polynomial 2 1 0 GCVc average 100 0.015 
polynomial 2 1 0 gmpml erm 100 0.045 
polynomial 2 1 0 gmpml average 100 0.01 
polynomial 2 1 0.1 loocv erm 100 0.485 
polynomial 2 1 0.1 loocv average 100 0.12 
