method	p	l	int.effect	mode	strategy	n	power								
polynomial	1	0.5	0	loocv	erm	100	0.05								
polynomial	1	0.5	0	loocv	average	100	0.035								
polynomial	1	0.5	0	AICc	erm	100	0.1								
polynomial	1	0.5	0	AICc	average	100	0.045								
polynomial	1	0.5	0	GCVc	erm	100	0.09								
polynomial	1	0.5	0	GCVc	average	100	0.035								
polynomial	1	0.5	0	gmpml	erm	100	0.04								
polynomial	1	0.5	0	gmpml	average	100	0.05								
polynomial	1	0.5	0.1	loocv	erm	100	0.91								
polynomial	1	0.5	0.1	loocv	average	100	0.85								
polynomial	1	0.5	0.1	AICc	erm	100	1								
polynomial	1	0.5	0.1	AICc	average	100	1								
polynomial	1	0.5	0.1	GCVc	erm	100	1								
polynomial	1	0.5	0.1	GCVc	average	100	1								
polynomial	1	0.5	0.1	gmpml	erm	100	1								
polynomial	1	0.5	0.1	gmpml	average	100	1								
polynomial	1	0.5	0.2	loocv	erm	100	0.815								
polynomial	1	0.5	0.2	loocv	average	100	0.855								
polynomial	1	0.5	0.2	AICc	erm	100	1								
polynomial	1	0.5	0.2	AICc	average	100	1								
polynomial	1	0.5	0.2	GCVc	erm	100	1								
polynomial	1	0.5	0.2	GCVc	average	100	1								
polynomial	1	0.5	0.2	gmpml	erm	100	1								
polynomial	1	0.5	0.2	gmpml	average	100	1								
polynomial	1	0.5	0.3	loocv	erm	100	0.9								
polynomial	1	0.5	0.3	loocv	average	100	0.85								
polynomial	1	0.5	0.3	AICc	erm	100	1								
polynomial	1	0.5	0.3	AICc	average	100	1								
polynomial	1	0.5	0.3	GCVc	erm	100	1								
polynomial	1	0.5	0.3	GCVc	average	100	1								
polynomial	1	0.5	0.3	gmpml	erm	100	1								
polynomial	1	0.5	0.3	gmpml	average	100	1								
polynomial	2	1	0	loocv	erm	100	0.055								
polynomial	2	1	0	loocv	average	100	0.07								
polynomial	2	1	0	AICc	erm	100	0.035								
polynomial	2	1	0	AICc	average	100	0.025								
polynomial	2	1	0	GCVc	erm	100	0.035								
polynomial	2	1	0	GCVc	average	100	0.01								
polynomial	2	1	0	gmpml	erm	100	0.08								
polynomial	2	1	0	gmpml	average	100	0.05								
polynomial	2	1	0.1	loocv	erm	100	0.645								
polynomial	2	1	0.1	loocv	average	100	0.555								
polynomial	2	1	0.1	AICc	erm	100	0.825								
polynomial	2	1	0.1	AICc	average	100	0.795								
polynomial	2	1	0.1	GCVc	erm	100	0.795								
polynomial	2	1	0.1	GCVc	average	100	0.815								
polynomial	2	1	0.1	gmpml	erm	100	0.79								
polynomial	2	1	0.1	gmpml	average	100	0.82								
polynomial	2	1	0.2	loocv	erm	100	0.59								
polynomial	2	1	0.2	loocv	average	100	0.545								
polynomial	2	1	0.2	AICc	erm	100	0.865								
polynomial	2	1	0.2	AICc	average	100	0.925								
polynomial	2	1	0.2	GCVc	erm	100	0.895								
polynomial	2	1	0.2	GCVc	average	100	0.905								
polynomial	2	1	0.2	gmpml	erm	100	0.89								
polynomial	2	1	0.2	gmpml	average	100	0.895								
polynomial	2	1	0.3	loocv	erm	100	0.605								
polynomial	2	1	0.3	loocv	average	100	0.54								
polynomial	2	1	0.3	AICc	erm	100	0.89								
polynomial	2	1	0.3	AICc	average	100	0.91								
polynomial	2	1	0.3	GCVc	erm	100	0.945								
polynomial	2	1	0.3	GCVc	average	100	0.88								
polynomial	2	1	0.3	gmpml	erm	100	0.895								
polynomial	2	1	0.3	gmpml	average	100	0.91								
polynomial	3	1.5	0	loocv	erm	100	0.06								
polynomial	3	1.5	0	loocv	average	100	0.06								
polynomial	3	1.5	0	AICc	erm	100	0.03								
polynomial	3	1.5	0	AICc	average	100	0.045								
polynomial	3	1.5	0	GCVc	erm	100	0.045								
polynomial	3	1.5	0	GCVc	average	100	0.03								
polynomial	3	1.5	0	gmpml	erm	100	0.065								
polynomial	3	1.5	0	gmpml	average	100	0.075								
