method p l int.effect mode strategy n power
1 polynomial 1 0.5 0 loocv erm 100 0.04
2 polynomial 1 0.5 0 loocv average 100 0.025
3 polynomial 1 0.5 0 AICc erm 100 0.04
4 polynomial 1 0.5 0 AICc average 100 0.045
5 polynomial 1 0.5 0 GCVc erm 100 0.06
6 polynomial 1 0.5 0 GCVc average 100 0.02
7 polynomial 1 0.5 0 gmpml erm 100 0.04
8 polynomial 1 0.5 0 gmpml average 100 0.03
9 polynomial 1 0.5 0.1 loocv erm 100 0.74
10 polynomial 1 0.5 0.1 loocv average 100 0.885
11 polynomial 1 0.5 0.1 AICc erm 100 0.8
12 polynomial 1 0.5 0.1 AICc average 100 0.995
13 polynomial 1 0.5 0.1 GCVc erm 100 0.785
14 polynomial 1 0.5 0.1 GCVc average 100 0.925
15 polynomial 1 0.5 0.1 gmpml erm 100 0.945
16 polynomial 1 0.5 0.1 gmpml average 100 0.575
17 polynomial 1 0.5 0.2 loocv erm 100 0.77
18 polynomial 1 0.5 0.2 loocv average 100 1
19 polynomial 1 0.5 0.2 AICc erm 100 0.88
20 polynomial 1 0.5 0.2 AICc average 100 1
21 polynomial 1 0.5 0.2 GCVc erm 100 0.93
22 polynomial 1 0.5 0.2 GCVc average 100 1
23 polynomial 1 0.5 0.2 gmpml erm 100 0.945
24 polynomial 1 0.5 0.2 gmpml average 100 0.95
25 polynomial 1 0.5 0.3 loocv erm 100 0.82
26 polynomial 1 0.5 0.3 loocv average 100 1
27 polynomial 1 0.5 0.3 AICc erm 100 0.86
28 polynomial 1 0.5 0.3 AICc average 100 1
29 polynomial 1 0.5 0.3 GCVc erm 100 0.95
30 polynomial 1 0.5 0.3 GCVc average 100 0.995
31 polynomial 1 0.5 0.3 gmpml erm 100 0.92
32 polynomial 1 0.5 0.3 gmpml average 100 0.995
33 polynomial 2 1 0 loocv erm 100 0.095
34 polynomial 2 1 0 loocv average 100 0
35 polynomial 2 1 0 AICc erm 100 0.05
36 polynomial 2 1 0 AICc average 100 0.045
37 polynomial 2 1 0 GCVc erm 100 0.065
38 polynomial 2 1 0 GCVc average 100 0.015
39 polynomial 2 1 0 gmpml erm 100 0.06
40 polynomial 2 1 0 gmpml average 100 0.035
41 polynomial 2 1 0.1 loocv erm 100 0.335
42 polynomial 2 1 0.1 loocv average 100 0.18
43 polynomial 2 1 0.1 AICc erm 100 0.54
44 polynomial 2 1 0.1 AICc average 100 0.42
45 polynomial 2 1 0.1 GCVc erm 100 0.525
46 polynomial 2 1 0.1 GCVc average 100 0.235
47 polynomial 2 1 0.1 gmpml erm 100 0.585
48 polynomial 2 1 0.1 gmpml average 100 0.135
49 polynomial 2 1 0.2 loocv erm 100 0.365
50 polynomial 2 1 0.2 loocv average 100 0.42
51 polynomial 2 1 0.2 AICc erm 100 0.615
52 polynomial 2 1 0.2 AICc average 100 0.79
53 polynomial 2 1 0.2 GCVc erm 100 0.695
54 polynomial 2 1 0.2 GCVc average 100 0.45
55 polynomial 2 1 0.2 gmpml erm 100 0.65
56 polynomial 2 1 0.2 gmpml average 100 0.36
57 polynomial 2 1 0.3 loocv erm 100 0.315
58 polynomial 2 1 0.3 loocv average 100 0.515
59 polynomial 2 1 0.3 AICc erm 100 0.655
60 polynomial 2 1 0.3 AICc average 100 0.855
61 polynomial 2 1 0.3 GCVc erm 100 0.685
62 polynomial 2 1 0.3 GCVc average 100 0.585
63 polynomial 2 1 0.3 gmpml erm 100 0.72
64 polynomial 2 1 0.3 gmpml average 100 0.5
65 polynomial 3 1.5 0 loocv erm 100 0.06
66 polynomial 3 1.5 0 loocv average 100 0.025
67 polynomial 3 1.5 0 AICc erm 100 0.045
68 polynomial 3 1.5 0 AICc average 100 0.11
69 polynomial 3 1.5 0 GCVc erm 100 0.04
70 polynomial 3 1.5 0 GCVc average 100 0.02
71 polynomial 3 1.5 0 gmpml erm 100 0.04
72 polynomial 3 1.5 0 gmpml average 100 0.02
73 polynomial 3 1.5 0.1 loocv erm 100 0.585
74 polynomial 3 1.5 0.1 loocv average 100 0.105
75 polynomial 3 1.5 0.1 AICc erm 100 0.7
76 polynomial 3 1.5 0.1 AICc average 100 0.465
77 polynomial 3 1.5 0.1 GCVc erm 100 0.705
78 polynomial 3 1.5 0.1 GCVc average 100 0.11
79 polynomial 3 1.5 0.1 gmpml erm 100 0.73
80 polynomial 3 1.5 0.1 gmpml average 100 0.07
81 polynomial 3 1.5 0.2 loocv erm 100 0.47
82 polynomial 3 1.5 0.2 loocv average 100 0.315
83 polynomial 3 1.5 0.2 AICc erm 100 0.695
84 polynomial 3 1.5 0.2 AICc average 100 0.72
85 polynomial 3 1.5 0.2 GCVc erm 100 0.635
86 polynomial 3 1.5 0.2 GCVc average 100 0.375
87 polynomial 3 1.5 0.2 gmpml erm 100 0.645
88 polynomial 3 1.5 0.2 gmpml average 100 0.265
89 polynomial 3 1.5 0.3 loocv erm 100 0.39
90 polynomial 3 1.5 0.3 loocv average 100 0.51
91 polynomial 3 1.5 0.3 AICc erm 100 0.575
92 polynomial 3 1.5 0.3 AICc average 100 0.85
93 polynomial 3 1.5 0.3 GCVc erm 100 0.66
94 polynomial 3 1.5 0.3 GCVc average 100 0.485
95 polynomial 3 1.5 0.3 gmpml erm 100 0.68
96 polynomial 3 1.5 0.3 gmpml average 100 0.415
97 rbf 1 0.5 0 loocv erm 100 0.025
98 rbf 1 0.5 0 loocv average 100 0.03
99 rbf 1 0.5 0 AICc erm 100 0.015
100 rbf 1 0.5 0 AICc average 100 0.15
101 rbf 1 0.5 0 GCVc erm 100 0.01
102 rbf 1 0.5 0 GCVc average 100 0.045
103 rbf 1 0.5 0 gmpml erm 100 0.025
104 rbf 1 0.5 0 gmpml average 100 0.025
105 rbf 1 0.5 0.1 loocv erm 100 0.08
106 rbf 1 0.5 0.1 loocv average 100 0.065
107 rbf 1 0.5 0.1 AICc erm 100 0.075
108 rbf 1 0.5 0.1 AICc average 100 0.065
109 rbf 1 0.5 0.1 GCVc erm 100 0.03
110 rbf 1 0.5 0.1 GCVc average 100 0.09
111 rbf 1 0.5 0.1 gmpml erm 100 0.06
112 rbf 1 0.5 0.1 gmpml average 100 0.045
113 rbf 1 0.5 0.2 loocv erm 100 0.06
114 rbf 1 0.5 0.2 loocv average 100 0.07
115 rbf 1 0.5 0.2 AICc erm 100 0.075
116 rbf 1 0.5 0.2 AICc average 100 0.125
