method p l int.effect mode strategy n power test
polynomial 1 0.5 0 loocv average 100 0.04 boot
polynomial 1 0.5 0 loocv exp 100 0.08 boot
polynomial 1 0.5 0.1 loocv average 100 0.9 boot
polynomial 1 0.5 0.1 loocv exp 100 0.905 boot
polynomial 1 0.5 0.2 loocv average 100 0.87 boot
polynomial 1 0.5 0.2 loocv exp 100 0.85 boot
polynomial 1 0.5 0.3 loocv average 100 0.88 boot
polynomial 1 0.5 0.3 loocv exp 100 0.865 boot
polynomial 1 0.5 0.4 loocv average 100 0.865 boot
polynomial 1 0.5 0.4 loocv exp 100 0.855 boot
polynomial 1 0.5 0.5 loocv average 100 0.87 boot
polynomial 1 0.5 0.5 loocv exp 100 0.88 boot
polynomial 1 0.5 0.6 loocv average 100 0.86 boot
polynomial 1 0.5 0.6 loocv exp 100 0.835 boot
polynomial 1 0.5 0.7 loocv average 100 0.89 boot
polynomial 1 0.5 0.7 loocv exp 100 0.865 boot
polynomial 1 0.5 0.8 loocv average 100 0.87 boot
polynomial 1 0.5 0.8 loocv exp 100 0.9 boot
polynomial 1 0.5 0.9 loocv average 100 0.89 boot
polynomial 1 0.5 0.9 loocv exp 100 0.895 boot
polynomial 1 0.5 1 loocv average 100 0.85 boot
polynomial 1 0.5 1 loocv exp 100 0.845 boot
polynomial 2 1 0 loocv average 100 0.025 boot
polynomial 2 1 0 loocv exp 100 0.045 boot
polynomial 2 1 0.1 loocv average 100 0.6 boot
polynomial 2 1 0.1 loocv exp 100 0.58 boot
polynomial 2 1 0.2 loocv average 100 0.595 boot
polynomial 2 1 0.2 loocv exp 100 0.605 boot
polynomial 2 1 0.3 loocv average 100 0.485 boot
polynomial 2 1 0.3 loocv exp 100 0.555 boot
polynomial 2 1 0.4 loocv average 100 0.51 boot
polynomial 2 1 0.4 loocv exp 100 0.54 boot
polynomial 2 1 0.5 loocv average 100 0.455 boot
polynomial 2 1 0.5 loocv exp 100 0.455 boot
polynomial 2 1 0.6 loocv average 100 0.405 boot
polynomial 2 1 0.6 loocv exp 100 0.455 boot
polynomial 2 1 0.7 loocv average 100 0.455 boot
polynomial 2 1 0.7 loocv exp 100 0.445 boot
polynomial 2 1 0.8 loocv average 100 0.45 boot
polynomial 2 1 0.8 loocv exp 100 0.42 boot
polynomial 2 1 0.9 loocv average 100 0.465 boot
polynomial 2 1 0.9 loocv exp 100 0.385 boot
polynomial 2 1 1 loocv average 100 0.48 boot
polynomial 2 1 1 loocv exp 100 0.385 boot
polynomial 3 1.5 0 loocv average 100 0.055 boot
polynomial 3 1.5 0 loocv exp 100 0.065 boot
polynomial 3 1.5 0.1 loocv average 100 0.7 boot
polynomial 3 1.5 0.1 loocv exp 100 0.7 boot
polynomial 3 1.5 0.2 loocv average 100 0.695 boot
polynomial 3 1.5 0.2 loocv exp 100 0.605 boot
polynomial 3 1.5 0.3 loocv average 100 0.66 boot
polynomial 3 1.5 0.3 loocv exp 100 0.65 boot
polynomial 3 1.5 0.4 loocv average 100 0.595 boot
polynomial 3 1.5 0.4 loocv exp 100 0.565 boot
polynomial 3 1.5 0.5 loocv average 100 0.52 boot
polynomial 3 1.5 0.5 loocv exp 100 0.55 boot
polynomial 3 1.5 0.6 loocv average 100 0.545 boot
polynomial 3 1.5 0.6 loocv exp 100 0.54 boot
polynomial 3 1.5 0.7 loocv average 100 0.465 boot
polynomial 3 1.5 0.7 loocv exp 100 0.48 boot
polynomial 3 1.5 0.8 loocv average 100 0.48 boot
polynomial 3 1.5 0.8 loocv exp 100 0.42 boot
polynomial 3 1.5 0.9 loocv average 100 0.43 boot
polynomial 3 1.5 0.9 loocv exp 100 0.455 boot
polynomial 3 1.5 1 loocv average 100 0.41 boot
polynomial 3 1.5 1 loocv exp 100 0.4 boot
rbf 1 0.5 0 loocv average 100 0 boot
rbf 1 0.5 0 loocv exp 100 0 boot
rbf 1 0.5 0.1 loocv average 100 0 boot
rbf 1 0.5 0.1 loocv exp 100 0.005 boot
rbf 1 0.5 0.2 loocv average 100 0.005 boot
rbf 1 0.5 0.2 loocv exp 100 0.005 boot
rbf 1 0.5 0.3 loocv average 100 0.01 boot
rbf 1 0.5 0.3 loocv exp 100 0.015 boot
rbf 1 0.5 0.4 loocv average 100 0.015 boot
rbf 1 0.5 0.4 loocv exp 100 0.02 boot
rbf 1 0.5 0.5 loocv average 100 0.035 boot
rbf 1 0.5 0.5 loocv exp 100 0.055 boot
rbf 1 0.5 0.6 loocv average 100 0.02 boot
rbf 1 0.5 0.6 loocv exp 100 0.035 boot
rbf 1 0.5 0.7 loocv average 100 0.05 boot
rbf 1 0.5 0.7 loocv exp 100 0.05 boot
rbf 1 0.5 0.8 loocv average 100 0.055 boot
rbf 1 0.5 0.8 loocv exp 100 0.025 boot
rbf 1 0.5 0.9 loocv average 100 0.02 boot
rbf 1 0.5 0.9 loocv exp 100 0.035 boot
rbf 1 0.5 1 loocv average 100 0.035 boot
rbf 1 0.5 1 loocv exp 100 0.05 boot
rbf 2 1 0 loocv average 100 0.045 boot
rbf 2 1 0 loocv exp 100 0.045 boot
rbf 2 1 0.1 loocv average 100 0.515 boot
rbf 2 1 0.1 loocv exp 100 0.52 boot
rbf 2 1 0.2 loocv average 100 0.575 boot
rbf 2 1 0.2 loocv exp 100 0.61 boot
rbf 2 1 0.3 loocv average 100 0.515 boot
rbf 2 1 0.3 loocv exp 100 0.435 boot
rbf 2 1 0.4 loocv average 100 0.555 boot
rbf 2 1 0.4 loocv exp 100 0.58 boot
rbf 2 1 0.5 loocv average 100 0.535 boot
rbf 2 1 0.5 loocv exp 100 0.505 boot
rbf 2 1 0.6 loocv average 100 0.55 boot
rbf 2 1 0.6 loocv exp 100 0.565 boot
rbf 2 1 0.7 loocv average 100 0.525 boot
rbf 2 1 0.7 loocv exp 100 0.52 boot
rbf 2 1 0.8 loocv average 100 0.485 boot
rbf 2 1 0.8 loocv exp 100 0.46 boot
rbf 2 1 0.9 loocv average 100 0.595 boot
rbf 2 1 0.9 loocv exp 100 0.625 boot
rbf 2 1 1 loocv average 100 0.555 boot
rbf 2 1 1 loocv exp 100 0.585 boot
rbf 3 1.5 0 loocv average 100 0.04 boot
rbf 3 1.5 0 loocv exp 100 0.06 boot
rbf 3 1.5 0.1 loocv average 100 0.67 boot
rbf 3 1.5 0.1 loocv exp 100 0.635 boot
rbf 3 1.5 0.2 loocv average 100 0.705 boot
rbf 3 1.5 0.2 loocv exp 100 0.69 boot
rbf 3 1.5 0.3 loocv average 100 0.65 boot
rbf 3 1.5 0.3 loocv exp 100 0.64 boot
rbf 3 1.5 0.4 loocv average 100 0.645 boot
rbf 3 1.5 0.4 loocv exp 100 0.62 boot
rbf 3 1.5 0.5 loocv average 100 0.605 boot
rbf 3 1.5 0.5 loocv exp 100 0.685 boot
rbf 3 1.5 0.6 loocv average 100 0.625 boot
rbf 3 1.5 0.6 loocv exp 100 0.66 boot
rbf 3 1.5 0.7 loocv average 100 0.67 boot
rbf 3 1.5 0.7 loocv exp 100 0.62 boot
rbf 3 1.5 0.8 loocv average 100 0.645 boot
rbf 3 1.5 0.8 loocv exp 100 0.615 boot
rbf 3 1.5 0.9 loocv average 100 0.655 boot
rbf 3 1.5 0.9 loocv exp 100 0.63 boot
