method p l int.effect mode strategy n power
polynomial 1 0.5 0 AICc exp 100 0.03
polynomial 1 0.5 0 AICc average 100 0.045
polynomial 1 0.5 0 AICc erm 100 0.04
polynomial 1 0.5 0 GCVc exp 100 0.005
polynomial 1 0.5 0 GCVc average 100 0.02
polynomial 1 0.5 0 GCVc erm 100 0.06
polynomial 1 0.5 0 gmpml exp 100 0.01
polynomial 1 0.5 0 gmpml average 100 0.03
polynomial 1 0.5 0 gmpml erm 100 0.04
polynomial 1 0.5 0 loocv exp 100 0.01
polynomial 1 0.5 0 loocv average 100 0.025
polynomial 1 0.5 0 loocv erm 100 0.04
polynomial 1 0.5 0.1 AICc exp 100 0.995
polynomial 1 0.5 0.1 AICc average 100 0.995
polynomial 1 0.5 0.1 AICc erm 100 0.8
polynomial 1 0.5 0.1 GCVc exp 100 0.9
polynomial 1 0.5 0.1 GCVc average 100 0.925
polynomial 1 0.5 0.1 GCVc erm 100 0.785
polynomial 1 0.5 0.1 gmpml exp 100 0.68
polynomial 1 0.5 0.1 gmpml average 100 0.575
polynomial 1 0.5 0.1 gmpml erm 100 0.945
polynomial 1 0.5 0.1 loocv exp 100 0.905
polynomial 1 0.5 0.1 loocv average 100 0.885
polynomial 1 0.5 0.1 loocv erm 100 0.74
polynomial 1 0.5 0.2 AICc exp 100 1
polynomial 1 0.5 0.2 AICc average 100 1
polynomial 1 0.5 0.2 AICc erm 100 0.88
polynomial 1 0.5 0.2 GCVc exp 100 1
polynomial 1 0.5 0.2 GCVc average 100 1
polynomial 1 0.5 0.2 GCVc erm 100 0.93
polynomial 1 0.5 0.2 gmpml exp 100 0.955
polynomial 1 0.5 0.2 gmpml average 100 0.95
polynomial 1 0.5 0.2 gmpml erm 100 0.945
polynomial 1 0.5 0.2 loocv exp 100 1
polynomial 1 0.5 0.2 loocv average 100 1
polynomial 1 0.5 0.2 loocv erm 100 0.77
polynomial 1 0.5 0.3 AICc exp 100 1
polynomial 1 0.5 0.3 AICc average 100 1
polynomial 1 0.5 0.3 AICc erm 100 0.86
polynomial 1 0.5 0.3 GCVc exp 100 0.995
polynomial 1 0.5 0.3 GCVc average 100 0.995
polynomial 1 0.5 0.3 GCVc erm 100 0.95
polynomial 1 0.5 0.3 gmpml exp 100 0.99
polynomial 1 0.5 0.3 gmpml average 100 0.995
polynomial 1 0.5 0.3 gmpml erm 100 0.92
polynomial 1 0.5 0.3 loocv exp 100 1
polynomial 1 0.5 0.3 loocv average 100 1
polynomial 1 0.5 0.3 loocv erm 100 0.82
polynomial 2 1 0 AICc exp 100 0.06
polynomial 2 1 0 AICc average 100 0.045
polynomial 2 1 0 AICc erm 100 0.05
polynomial 2 1 0 GCVc exp 100 0.005
polynomial 2 1 0 GCVc average 100 0.015
polynomial 2 1 0 GCVc erm 100 0.065
polynomial 2 1 0 gmpml exp 100 0.025
polynomial 2 1 0 gmpml average 100 0.035
polynomial 2 1 0 gmpml erm 100 0.06
polynomial 2 1 0 loocv exp 100 0.01
polynomial 2 1 0 loocv average 100 0
polynomial 2 1 0 loocv erm 100 0.095
polynomial 2 1 0.1 AICc exp 100 0.415
polynomial 2 1 0.1 AICc average 100 0.42
polynomial 2 1 0.1 AICc erm 100 0.54
polynomial 2 1 0.1 GCVc exp 100 0.205
polynomial 2 1 0.1 GCVc average 100 0.235
polynomial 2 1 0.1 GCVc erm 100 0.525
polynomial 2 1 0.1 gmpml exp 100 0.135
polynomial 2 1 0.1 gmpml average 100 0.135
polynomial 2 1 0.1 gmpml erm 100 0.585
polynomial 2 1 0.1 loocv exp 100 0.21
polynomial 2 1 0.1 loocv average 100 0.18
polynomial 2 1 0.1 loocv erm 100 0.335
polynomial 2 1 0.2 AICc exp 100 0.71
polynomial 2 1 0.2 AICc average 100 0.79
polynomial 2 1 0.2 AICc erm 100 0.615
polynomial 2 1 0.2 GCVc exp 100 0.45
polynomial 2 1 0.2 GCVc average 100 0.45
