method p l int.effect mode strategy n power
matern_1.5 1 0.5 0 loocv exp 100 0
matern_1.5 1 0.5 0 AICc exp 100 0
matern_1.5 1 0.5 0 GCVc exp 100 0
matern_1.5 1 0.5 0 gmpml exp 100 0
matern_1.5 1 0.5 0.1 loocv exp 100 0
matern_1.5 1 0.5 0.1 AICc exp 100 0
matern_1.5 1 0.5 0.1 GCVc exp 100 0.005
matern_1.5 1 0.5 0.1 gmpml exp 100 0
matern_1.5 1 0.5 0.2 loocv exp 100 0
matern_1.5 1 0.5 0.2 AICc exp 100 0
matern_1.5 1 0.5 0.2 GCVc exp 100 0
matern_1.5 1 0.5 0.2 gmpml exp 100 0
matern_1.5 1 0.5 0.3 loocv exp 100 0
matern_1.5 1 0.5 0.3 AICc exp 100 0
matern_1.5 1 0.5 0.3 GCVc exp 100 0.005
matern_1.5 1 0.5 0.3 gmpml exp 100 0
matern_1.5 1 1 0 loocv exp 100 0
matern_1.5 1 1 0 AICc exp 100 0.02
matern_1.5 1 1 0 GCVc exp 100 0.005
matern_1.5 1 1 0 gmpml exp 100 0
matern_1.5 1 1 0.1 loocv exp 100 0.025
matern_1.5 1 1 0.1 AICc exp 100 0.3
matern_1.5 1 1 0.1 GCVc exp 100 0.105
matern_1.5 1 1 0.1 gmpml exp 100 0.01
matern_1.5 1 1 0.2 loocv exp 100 0.05
matern_1.5 1 1 0.2 AICc exp 100 0.355
matern_1.5 1 1 0.2 GCVc exp 100 0.175
matern_1.5 1 1 0.2 gmpml exp 100 0.055
matern_1.5 1 1 0.3 loocv exp 100 0.135
matern_1.5 1 1 0.3 AICc exp 100 0.395
matern_1.5 1 1 0.3 GCVc exp 100 0.24
matern_1.5 1 1 0.3 gmpml exp 100 0.115
matern_1.5 1 1.5 0 loocv exp 100 0.005
matern_1.5 1 1.5 0 AICc exp 100 0.02
matern_1.5 1 1.5 0 GCVc exp 100 0
matern_1.5 1 1.5 0 gmpml exp 100 0.005
matern_1.5 1 1.5 0.1 loocv exp 100 0.33
matern_1.5 1 1.5 0.1 AICc exp 100 0.57
matern_1.5 1 1.5 0.1 GCVc exp 100 0.33
matern_1.5 1 1.5 0.1 gmpml exp 100 0.2
matern_1.5 1 1.5 0.2 loocv exp 100 0.525
