method p l int.effect mode strategy n power
rbf 2 1 0 loocv exp 100 0.04
polynomial 2 1 0 loocv exp 100 0.07
rbf 1 0.5 0 loocv exp 100 0
polynomial 3 1.5 0 loocv exp 100 0.05
polynomial 1 0.5 0 loocv exp 100 0.04
rbf 3 1.5 0 loocv exp 100 0.015
rbf 2 1 0 AICc exp 100 0.04
polynomial 2 1 0 AICc exp 100 0.025
rbf 1 0.5 0 AICc exp 100 0.04
polynomial 3 1.5 0 AICc exp 100 0.045
polynomial 1 0.5 0 AICc exp 100 0.025
rbf 3 1.5 0 AICc exp 100 0.03
rbf 2 1 0 GCVc exp 100 0.04
rbf 1 0.5 0 GCVc exp 100 0
polynomial 2 1 0 GCVc exp 100 0.07
polynomial 3 1.5 0 GCVc exp 100 0.045
rbf 3 1.5 0 GCVc exp 100 0.045
polynomial 1 0.5 0 GCVc exp 100 0.045
rbf 2 1 0 gmpml exp 100 0.04
rbf 1 0.5 0 gmpml exp 100 0
polynomial 2 1 0 gmpml exp 100 0.045
polynomial 3 1.5 0 gmpml exp 100 0.05
rbf 3 1.5 0 gmpml exp 100 0.045
polynomial 1 0.5 0 gmpml exp 100 0.075
rbf 2 1 0.1 loocv exp 100 0.575
rbf 3 1.5 0.1 loocv exp 100 0.61
rbf 1 0.5 0.1 loocv exp 100 0
polynomial 2 1 0.1 loocv exp 100 0.585
polynomial 3 1.5 0.1 loocv exp 100 0.715
rbf 2 1 0.1 AICc exp 100 0.6
polynomial 1 0.5 0.1 loocv exp 100 0.855
rbf 3 1.5 0.1 AICc exp 100 0.85
rbf 1 0.5 0.1 AICc exp 100 0.065
polynomial 2 1 0.1 AICc exp 100 0.785
polynomial 3 1.5 0.1 AICc exp 100 0.85
rbf 2 1 0.1 GCVc exp 100 0.535
rbf 3 1.5 0.1 GCVc exp 100 0.82
polynomial 1 0.5 0.1 AICc exp 100 1
rbf 1 0.5 0.1 GCVc exp 100 0.015
polynomial 2 1 0.1 GCVc exp 100 0.74
polynomial 3 1.5 0.1 GCVc exp 100 0.82
rbf 2 1 0.1 gmpml exp 100 0.605
rbf 3 1.5 0.1 gmpml exp 100 0.81
rbf 1 0.5 0.1 gmpml exp 100 0.005
polynomial 1 0.5 0.1 GCVc exp 100 1
polynomial 2 1 0.1 gmpml exp 100 0.795
rbf 2 1 0.2 loocv exp 100 0.56
polynomial 3 1.5 0.1 gmpml exp 100 0.815
rbf 3 1.5 0.2 loocv exp 100 0.635
polynomial 2 1 0.2 loocv exp 100 0.615
rbf 1 0.5 0.2 loocv exp 100 0.01
polynomial 1 0.5 0.1 gmpml exp 100 1
rbf 2 1 0.2 AICc exp 100 0.715
polynomial 3 1.5 0.2 loocv exp 100 0.69
rbf 3 1.5 0.2 AICc exp 100 0.93
polynomial 2 1 0.2 AICc exp 100 0.89
polynomial 1 0.5 0.2 loocv exp 100 0.885
rbf 2 1 0.2 GCVc exp 100 0.675
rbf 1 0.5 0.2 AICc exp 100 0.07
polynomial 3 1.5 0.2 AICc exp 100 0.915
polynomial 2 1 0.2 GCVc exp 100 0.915
rbf 3 1.5 0.2 GCVc exp 100 0.885
rbf 2 1 0.2 gmpml exp 100 0.72
polynomial 1 0.5 0.2 AICc exp 100 1
rbf 1 0.5 0.2 GCVc exp 100 0.04
polynomial 3 1.5 0.2 GCVc exp 100 0.915
polynomial 2 1 0.2 gmpml exp 100 0.875
rbf 2 1 0.3 loocv exp 100 0.495
rbf 3 1.5 0.2 gmpml exp 100 0.92
polynomial 1 0.5 0.2 GCVc exp 100 1
rbf 1 0.5 0.2 gmpml exp 100 0.025
polynomial 3 1.5 0.2 gmpml exp 100 0.92
rbf 2 1 0.3 AICc exp 100 0.7
polynomial 2 1 0.3 loocv exp 100 0.555
rbf 3 1.5 0.3 loocv exp 100 0.66
rbf 1 0.5 0.3 loocv exp 100 0.025
polynomial 3 1.5 0.3 loocv exp 100 0.675
polynomial 1 0.5 0.2 gmpml exp 100 1
rbf 2 1 0.3 GCVc exp 100 0.72
polynomial 2 1 0.3 AICc exp 100 0.94
rbf 3 1.5 0.3 AICc exp 100 0.94
polynomial 1 0.5 0.3 loocv exp 100 0.86
polynomial 3 1.5 0.3 AICc exp 100 0.935
rbf 1 0.5 0.3 AICc exp 100 0.05
rbf 2 1 0.3 gmpml exp 100 0.78
polynomial 2 1 0.3 GCVc exp 100 0.88
rbf 3 1.5 0.3 GCVc exp 100 0.895
polynomial 3 1.5 0.3 GCVc exp 100 0.885
polynomial 1 0.5 0.3 AICc exp 100 1
rbf 1 0.5 0.3 GCVc exp 100 0.05
polynomial 2 1 0.3 gmpml exp 100 0.94
rbf 3 1.5 0.3 gmpml exp 100 0.915
polynomial 3 1.5 0.3 gmpml exp 100 0.92
polynomial 1 0.5 0.3 GCVc exp 100 1
rbf 1 0.5 0.3 gmpml exp 100 0.035
polynomial 1 0.5 0.3 gmpml exp 100 1
matern_1.5 1 0.5 0 loocv exp 100 0
matern_1.5 1 1 0 loocv exp 100 0
matern_1.5 1 0.5 0 AICc exp 100 0
matern_1.5 1 1.5 0 loocv exp 100 0.005
matern_1.5 1 1 0 AICc exp 100 0.025
matern_1.5 1 0.5 0 GCVc exp 100 0
matern_2.5 2 1 0 loocv exp 100 0.02
matern_1.5 1 1.5 0 AICc exp 100 0.015
matern_1.5 1 1 0 GCVc exp 100 0
matern_1.5 1 0.5 0 gmpml exp 100 0
matern_2.5 2 1 0 AICc exp 100 0.015
matern_1.5 1 1.5 0 GCVc exp 100 0
matern_2.5 2 1.5 0 loocv exp 100 0.03
matern_1.5 1 1 0 gmpml exp 100 0
matern_1.5 1 0.5 0.1 loocv exp 100 0
matern_2.5 2 1 0 GCVc exp 100 0.01
matern_1.5 1 1.5 0 gmpml exp 100 0
matern_2.5 2 1.5 0 AICc exp 100 0.03
matern_1.5 1 0.5 0.1 AICc exp 100 0
matern_1.5 1 1 0.1 loocv exp 100 0.015
matern_2.5 2 1 0 gmpml exp 100 0.005
matern_1.5 1 1.5 0.1 loocv exp 100 0.27
matern_2.5 2 1.5 0 GCVc exp 100 0.05
matern_1.5 1 0.5 0.1 GCVc exp 100 0
matern_1.5 1 1 0.1 AICc exp 100 0.265
matern_2.5 2 1 0.1 loocv exp 100 0.185
matern_1.5 1 1.5 0.1 AICc exp 100 0.575
matern_2.5 2 1.5 0 gmpml exp 100 0.01
matern_1.5 1 0.5 0.1 gmpml exp 100 0
matern_2.5 2 1 0.1 AICc exp 100 0.435
matern_1.5 1 1.5 0.1 GCVc exp 100 0.38
matern_1.5 1 1 0.1 GCVc exp 100 0.12
matern_2.5 2 1.5 0.1 loocv exp 100 0.66
matern_1.5 1 0.5 0.2 loocv exp 100 0
matern_2.5 2 1 0.1 GCVc exp 100 0.24
matern_1.5 1 1.5 0.1 gmpml exp 100 0.235
matern_2.5 2 1.5 0.1 AICc exp 100 0.705
matern_1.5 1 1 0.1 gmpml exp 100 0.015
matern_1.5 1 0.5 0.2 AICc exp 100 0.005
matern_2.5 2 1 0.1 gmpml exp 100 0.155
matern_2.5 2 1.5 0.1 GCVc exp 100 0.605
matern_1.5 1 1.5 0.2 loocv exp 100 0.45
matern_1.5 1 1 0.2 loocv exp 100 0.11
matern_1.5 1 0.5 0.2 GCVc exp 100 0
matern_2.5 2 1 0.2 loocv exp 100 0.33
matern_2.5 2 1.5 0.1 gmpml exp 100 0.655
matern_1.5 1 1.5 0.2 AICc exp 100 0.71
matern_1.5 1 1 0.2 AICc exp 100 0.355
matern_2.5 2 1 0.2 AICc exp 100 0.545
matern_1.5 1 0.5 0.2 gmpml exp 100 0
matern_2.5 2 1.5 0.2 loocv exp 100 0.73
matern_1.5 1 1.5 0.2 GCVc exp 100 0.65
matern_2.5 2 1 0.2 GCVc exp 100 0.47
matern_1.5 1 0.5 0.3 loocv exp 100 0.01
matern_1.5 1 1 0.2 GCVc exp 100 0.225
matern_2.5 2 1.5 0.2 AICc exp 100 0.82
matern_2.5 2 1 0.2 gmpml exp 100 0.365
matern_1.5 1 1.5 0.2 gmpml exp 100 0.425
matern_1.5 1 0.5 0.3 AICc exp 100 0.005
matern_1.5 1 1 0.2 gmpml exp 100 0.025
matern_2.5 2 1.5 0.2 GCVc exp 100 0.785
matern_2.5 2 1 0.3 loocv exp 100 0.425
matern_1.5 1 1.5 0.3 loocv exp 100 0.665
matern_1.5 1 0.5 0.3 GCVc exp 100 0.015
