method p l int.effect mode strategy n power
polynomial 1 0.5 0 AICc exp 100 0.29
polynomial 1 0.5 0 AICc average 100 0.345
polynomial 1 0.5 0 AICc erm 100 0.03
polynomial 1 0.5 0 GCVc exp 100 0.085
polynomial 1 0.5 0 GCVc average 100 0.08
polynomial 1 0.5 0 GCVc erm 100 0.03
polynomial 1 0.5 0 gmpml exp 100 0.055
polynomial 1 0.5 0 gmpml average 100 0.065
polynomial 1 0.5 0 gmpml erm 100 0.015
polynomial 1 0.5 0 loocv exp 100 0.07
polynomial 1 0.5 0 loocv average 100 0.055
polynomial 1 0.5 0 loocv erm 100 0.04
polynomial 1 0.5 0.1 AICc exp 100 0.97
polynomial 1 0.5 0.1 AICc average 100 0.96
polynomial 1 0.5 0.1 AICc erm 100 0.99
polynomial 1 0.5 0.1 GCVc exp 100 0.995
polynomial 1 0.5 0.1 GCVc average 100 0.98
polynomial 1 0.5 0.1 GCVc erm 100 0.995
polynomial 1 0.5 0.1 gmpml exp 100 0.975
polynomial 1 0.5 0.1 gmpml average 100 0.96
polynomial 1 0.5 0.1 gmpml erm 100 0.995
polynomial 1 0.5 0.1 loocv exp 100 0.985
polynomial 1 0.5 0.1 loocv average 100 0.95
polynomial 1 0.5 0.1 loocv erm 100 1
polynomial 1 0.5 0.2 AICc exp 100 1
polynomial 1 0.5 0.2 AICc average 100 1
polynomial 1 0.5 0.2 AICc erm 100 1
polynomial 1 0.5 0.2 GCVc exp 100 1
polynomial 1 0.5 0.2 GCVc average 100 1
polynomial 1 0.5 0.2 GCVc erm 100 1
polynomial 1 0.5 0.2 gmpml exp 100 1
polynomial 1 0.5 0.2 gmpml average 100 1
polynomial 1 0.5 0.2 gmpml erm 100 1
polynomial 1 0.5 0.2 loocv exp 100 1
polynomial 1 0.5 0.2 loocv average 100 1
polynomial 1 0.5 0.2 loocv erm 100 1
polynomial 1 0.5 0.3 AICc exp 100 1
polynomial 1 0.5 0.3 AICc average 100 1
polynomial 1 0.5 0.3 AICc erm 100 1
polynomial 1 0.5 0.3 GCVc exp 100 1
polynomial 1 0.5 0.3 GCVc average 100 1
polynomial 1 0.5 0.3 GCVc erm 100 1
polynomial 1 0.5 0.3 gmpml exp 100 1
polynomial 1 0.5 0.3 gmpml average 100 1
polynomial 1 0.5 0.3 gmpml erm 100 1
polynomial 1 0.5 0.3 loocv exp 100 1
polynomial 1 0.5 0.3 loocv average 100 1
polynomial 1 0.5 0.3 loocv erm 100 0.995
polynomial 2 1 0 AICc exp 100 0.44
polynomial 2 1 0 AICc average 100 0.535
polynomial 2 1 0 AICc erm 100 0.055
polynomial 2 1 0 GCVc exp 100 0.25
polynomial 2 1 0 GCVc average 100 0.275
polynomial 2 1 0 GCVc erm 100 0.02
polynomial 2 1 0 gmpml exp 100 0.095
polynomial 2 1 0 gmpml average 100 0.23
polynomial 2 1 0 gmpml erm 100 0.02
polynomial 2 1 0 loocv exp 100 0.155
polynomial 2 1 0 loocv average 100 0.165
polynomial 2 1 0 loocv erm 100 0.04
polynomial 2 1 0.1 AICc exp 100 0.645
polynomial 2 1 0.1 AICc average 100 0.66
polynomial 2 1 0.1 AICc erm 100 0.485
polynomial 2 1 0.1 GCVc exp 100 0.475
polynomial 2 1 0.1 GCVc average 100 0.525
polynomial 2 1 0.1 GCVc erm 100 0.475
polynomial 2 1 0.1 gmpml exp 100 0.5
polynomial 2 1 0.1 gmpml average 100 0.435
polynomial 2 1 0.1 gmpml erm 100 0.425
polynomial 2 1 0.1 loocv exp 100 0.475
polynomial 2 1 0.1 loocv average 100 0.475
