V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
polynomial,1,0.5,0,loocv,avg,1,0.985,146.9291,53.6323,2.328,3.1777,0.9877
polynomial,1,0.5,0.05,loocv,avg,1,0.965,146.1759,53.0772,2.8184,3.1735,0.9891
polynomial,1,0.5,0.1,loocv,avg,1,0.97,143.961,52.8755,4.2696,3.2161,0.9813
polynomial,1,0.5,0.15,loocv,avg,1,0.975,144.703,53.8348,3.7891,3.2461,0.971
polynomial,1,0.5,0.2,loocv,avg,1,0.985,146.9216,53.1527,2.3299,3.2333,0.9872
polynomial,1,0.5,0.25,loocv,avg,1,0.99,146.9291,53.1189,2.3247,3.2839,0.9873
polynomial,1,0.5,0.3,loocv,avg,1,0.98,145.445,53.3321,3.2988,3.3339,0.9669
polynomial,1,0.5,0.4,loocv,avg,1,0.975,143.9612,52.2656,3.8134,3.4991,0.9822
polynomial,1,0.5,0.5,loocv,avg,1,0.99,146.192,52.0862,2.3222,3.58,0.9703
polynomial,1,0.5,0.6,loocv,avg,1,0.975,138.9884,51.2144,4.3105,3.7538,0.9665
polynomial,1,0.5,0.7,loocv,avg,1,0.96,139.5458,51.0922,5.6687,3.855,0.9499
polynomial,1,0.5,0.8,loocv,avg,1,0.945,131.8079,48.2849,7.9878,4.0726,0.9376
polynomial,1,0.5,0.9,loocv,avg,1,0.935,133.8855,48.0633,7.6396,4.1684,0.9224
polynomial,1,0.5,1,loocv,avg,1,0.95,128.5907,45.7206,8.6484,4.3132,0.9136
polynomial,1,0.5,0,loocv,exp,1,0.72,109.8275,96.4017,27.034,3.4288,0.7252
polynomial,1,0.5,0.05,loocv,exp,1,0.73,108.3434,96.3968,28.0107,3.4735,0.7222
polynomial,1,0.5,0.1,loocv,exp,1,0.83,123.9261,96.4048,17.755,3.2698,0.8109
polynomial,1,0.5,0.15,loocv,exp,1,0.75,110.5831,96.3268,26.1747,3.4754,0.736
