V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
polynomial,1,0.5,0,loocv,avg,1,0.98,147.6711,54.6128,1.8477,3.1306,0.0525,0.0535,0.9813
polynomial,1,0.5,0.05,loocv,avg,1,0.985,148.4132,54.7581,1.362,3.1355,0.0536,0.0544,0.99
polynomial,1,0.5,0.1,loocv,avg,1,0.995,147.6711,55.3605,1.8524,3.1981,0.0549,0.0557,0.9865
polynomial,1,0.5,0.15,loocv,avg,1,0.99,148.4132,54.9295,1.363,3.233,0.0558,0.0569,0.9889
polynomial,1,0.5,0.2,loocv,avg,1,0.99,147.6674,54.9684,1.8524,3.302,0.0574,0.0575,1.0047
polynomial,1,0.5,0.25,loocv,avg,1,0.995,147.6711,55.1596,1.8511,3.2737,0.0563,0.0559,1.0083
polynomial,1,0.5,0.3,loocv,avg,1,0.98,147.6598,54.9385,1.857,3.2536,0.0557,0.0569,0.9858
polynomial,1,0.5,0.4,loocv,avg,1,0.975,143.9719,54.0423,3.4389,3.4259,0.0583,0.0603,0.9671
polynomial,1,0.5,0.5,loocv,avg,1,0.98,144.7029,53.9286,2.754,3.5566,0.0631,0.0651,0.9776
polynomial,1,0.5,0.6,loocv,avg,1,0.97,141.719,53.3822,4.1397,3.7751,0.069,0.0711,0.9723
polynomial,1,0.5,0.7,loocv,avg,1,0.96,137.2476,51.5067,5.0028,3.951,0.0714,0.0737,0.9692
polynomial,1,0.5,0.8,loocv,avg,1,0.985,137.9747,50.6374,4.0169,3.9705,0.0761,0.0784,0.9776
polynomial,1,0.5,0.9,loocv,avg,1,0.98,137.4181,50.2388,3.0826,4.1072,0.0821,0.0859,0.9664
polynomial,1,0.5,1,loocv,avg,1,1,131.4904,48.431,3.1295,4.3117,0.0883,0.0897,0.9974
polynomial,1,0.5,0,loocv,exp,1,0.75,112.0536,96.4093,25.5689,3.4409,0.0407,0.0481,0.7459
polynomial,1,0.5,0.05,loocv,exp,1,0.765,115.7637,96.3979,23.127,3.3076,0.0391,0.0456,0.7728
polynomial,1,0.5,0.1,loocv,exp,1,0.745,112.0536,96.3623,25.5686,3.4422,0.0403,0.0475,0.7447
polynomial,1,0.5,0.15,loocv,exp,1,0.75,111.3116,96.3258,26.0567,3.4623,0.0406,0.0496,0.7216
polynomial,1,0.5,0.2,loocv,exp,1,0.78,115.7637,96.1032,23.125,3.4098,0.0424,0.0508,0.7504
polynomial,1,0.5,0.25,loocv,exp,1,0.81,120.2159,95.9622,20.1933,3.4206,0.0451,0.053,0.7835
polynomial,1,0.5,0.3,loocv,exp,1,0.745,110.5695,96.0845,26.5435,3.5821,0.0438,0.0531,0.74
polynomial,1,0.5,0.4,loocv,exp,1,0.765,114.6844,94.8774,23.8269,3.6049,0.0475,0.0573,0.7659
polynomial,1,0.5,0.5,loocv,exp,1,0.76,110.5952,90.3161,25.165,3.7023,0.0471,0.0602,0.7312
polynomial,1,0.5,0.6,loocv,exp,1,0.71,101.0376,89.9848,30.4751,3.9037,0.0482,0.063,0.7189
polynomial,1,0.5,0.7,loocv,exp,1,0.79,113.4833,89.1708,23.023,3.8924,0.0584,0.0712,0.7875
polynomial,1,0.5,0.8,loocv,exp,1,0.81,115.7722,84.498,20.4091,3.949,0.0626,0.0766,0.7974
polynomial,1,0.5,0.9,loocv,exp,1,0.795,112.7175,85.0221,22.8238,4.0473,0.0662,0.0819,0.7891
polynomial,1,0.5,1,loocv,exp,1,0.79,107.1339,76.3358,23.5855,4.2271,0.0683,0.0876,0.7684
polynomial,1,0.5,0,loocv,erm,1,0.7,104.4133,96.413,30.5975,3.4934,0.0371,0.0447,0.7015
polynomial,1,0.5,0.05,loocv,erm,1,0.755,113.5377,96.3973,24.5921,3.4592,0.0418,0.0491,0.7457
polynomial,1,0.5,0.1,loocv,erm,1,0.77,114.8539,96.3702,23.7256,3.4061,0.0413,0.0487,0.7581
polynomial,1,0.5,0.15,loocv,erm,1,0.78,115.7637,96.3718,23.1268,3.4063,0.0419,0.0492,0.7577
polynomial,1,0.5,0.2,loocv,erm,1,0.715,106.1173,96.2772,29.475,3.5139,0.0385,0.0475,0.708
polynomial,1,0.5,0.25,loocv,erm,1,0.79,117.2478,96.0143,22.1477,3.428,0.0436,0.0507,0.7881
polynomial,1,0.5,0.3,loocv,erm,1,0.75,110.5806,95.3438,26.1437,3.5513,0.0428,0.0519,0.7428
polynomial,1,0.5,0.4,loocv,erm,1,0.725,106.8602,95.1397,28.8862,3.6777,0.0442,0.0567,0.7124
polynomial,1,0.5,0.5,loocv,erm,1,0.79,117.0912,92.2375,21.8144,3.6686,0.0504,0.0635,0.7767
polynomial,1,0.5,0.6,loocv,erm,1,0.8,117.0996,91.3588,21.4581,3.7606,0.0543,0.0647,0.813
polynomial,1,0.5,0.7,loocv,erm,1,0.755,109.458,89.1587,25.8611,3.918,0.0548,0.0729,0.7407
polynomial,1,0.5,0.8,loocv,erm,1,0.69,97.24,88.0732,33.4831,4.0781,0.052,0.0792,0.6531
polynomial,1,0.5,0.9,loocv,erm,1,0.765,105.4295,82.1315,27.7123,4.0985,0.0614,0.0796,0.7477
polynomial,1,0.5,1,loocv,erm,1,0.77,106.2652,81.0279,25.7452,4.2571,0.0668,0.0987,0.7314
polynomial,1,0.5,0,AICc,avg,1,0,0.015,54.5751,97.2091,5.2416,0.0016,0.0292,0.0556
polynomial,1,0.5,0.05,AICc,avg,1,0,0.015,54.6595,97.2101,5.2434,0.0016,0.0296,0.057
polynomial,1,0.5,0.1,AICc,avg,1,0.005,0.015,54.3314,97.205,5.2456,0.0016,0.0294,0.0561
polynomial,1,0.5,0.15,AICc,avg,1,0,0.015,54.9208,97.2192,5.2398,0.0016,0.0308,0.0525
polynomial,1,0.5,0.2,AICc,avg,1,0.005,0.015,54.9696,97.2221,5.2416,0.0017,0.0325,0.0528
polynomial,1,0.5,0.25,AICc,avg,1,0,0.015,54.9914,97.2182,5.2427,0.0017,0.0343,0.0498
polynomial,1,0.5,0.3,AICc,avg,1,0.015,0.0149,54.8026,97.2208,5.2467,0.0018,0.0375,0.0475
polynomial,1,0.5,0.4,AICc,avg,1,0.04,0.0149,54.4074,97.2088,5.254,0.0018,0.0413,0.0443
polynomial,1,0.5,0.5,AICc,avg,1,0.13,0.0147,54.0103,97.2293,5.267,0.0019,0.0461,0.0419
polynomial,1,0.5,0.6,AICc,avg,1,0.24,0.0146,53.9476,97.2298,5.2753,0.002,0.053,0.0379
polynomial,1,0.5,0.7,AICc,avg,1,0.515,1.4985,52.9178,96.2677,5.2672,0.0027,0.0585,0.0475
polynomial,1,0.5,0.8,AICc,avg,1,0.73,0.7563,53.1735,96.7581,5.2918,0.0026,0.0654,0.04
polynomial,1,0.5,0.9,AICc,avg,1,0.88,0.756,52.0025,96.7613,5.3124,0.0028,0.0713,0.0393
polynomial,1,0.5,1,AICc,avg,1,0.955,4.4957,51.395,93.8944,5.2917,0.0051,0.0774,0.0668
polynomial,1,0.5,0,AICc,exp,1,0,0.0273,96.4063,97.2707,4.6183,0.0014,0.0295,0.0501
polynomial,1,0.5,0.05,AICc,exp,1,0,0.0273,96.3975,97.2705,4.6195,0.0015,0.0288,0.0524
polynomial,1,0.5,0.1,AICc,exp,1,0,0.0272,96.1403,97.2711,4.6242,0.0015,0.0309,0.0492
polynomial,1,0.5,0.15,AICc,exp,1,0,0.0273,96.3905,97.2703,4.6242,0.0016,0.0321,0.0493
polynomial,1,0.5,0.2,AICc,exp,1,0,0.0273,96.2,97.2697,4.6258,0.0016,0.0327,0.0485
polynomial,1,0.5,0.25,AICc,exp,1,0.005,0.0272,95.923,97.2726,4.6312,0.0016,0.0337,0.0471
polynomial,1,0.5,0.3,AICc,exp,1,0,0.0273,96.1435,97.2656,4.628,0.0016,0.0361,0.044
polynomial,1,0.5,0.4,AICc,exp,1,0.015,0.0271,95.6084,97.2679,4.6386,0.0017,0.041,0.0418
polynomial,1,0.5,0.5,AICc,exp,1,0.065,1.5149,93.8135,95.8439,4.6422,0.0024,0.0475,0.0543
polynomial,1,0.5,0.6,AICc,exp,1,0.23,0.0264,92.9558,97.2598,4.679,0.0019,0.0524,0.0376
polynomial,1,0.5,0.7,AICc,exp,1,0.43,0.7721,92.7887,96.7779,4.6673,0.0023,0.0597,0.0398
polynomial,1,0.5,0.8,AICc,exp,1,0.69,2.2508,86.9182,95.8099,4.7368,0.003,0.065,0.0468
polynomial,1,0.5,0.9,AICc,exp,1,0.85,0.0241,84.5685,97.2436,4.8113,0.0023,0.0719,0.0328
polynomial,1,0.5,1,AICc,exp,1,0.905,2.3471,81.7524,93.4686,4.8618,0.0054,0.0784,0.0752
polynomial,1,0.5,0,AICc,erm,1,0,0.0273,96.3789,97.2699,4.6193,0.0015,0.0294,0.0515
polynomial,1,0.5,0.05,AICc,erm,1,0,0.0273,96.4052,97.2707,4.6207,0.0015,0.0291,0.0524
polynomial,1,0.5,0.1,AICc,erm,1,0,0.0273,96.4002,97.2705,4.6226,0.0015,0.0309,0.0505
polynomial,1,0.5,0.15,AICc,erm,1,0,0.0273,96.3556,97.2693,4.6228,0.0015,0.0306,0.0512
polynomial,1,0.5,0.2,AICc,erm,1,0,0.0273,96.3552,97.2692,4.6254,0.0016,0.0335,0.0472
polynomial,1,0.5,0.25,AICc,erm,1,0,0.0272,95.7951,97.2697,4.6307,0.0015,0.0339,0.0462
polynomial,1,0.5,0.3,AICc,erm,1,0,0.0272,95.7362,97.262,4.6357,0.0016,0.0371,0.0443
polynomial,1,0.5,0.4,AICc,erm,1,0.005,0.0271,95.2256,97.2549,4.6425,0.0017,0.0419,0.0413
polynomial,1,0.5,0.5,AICc,erm,1,0.1,0.7737,93.4083,96.2885,4.6613,0.0022,0.0474,0.0495
polynomial,1,0.5,0.6,AICc,erm,1,0.23,0.0262,91.7046,97.2422,4.692,0.0019,0.0524,0.0376
polynomial,1,0.5,0.7,AICc,erm,1,0.415,1.51,89.8265,96.2648,4.6872,0.0026,0.0588,0.0449
polynomial,1,0.5,0.8,AICc,erm,1,0.685,4.4767,84.8863,94.3394,4.7186,0.004,0.0647,0.0644
