V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
polynomial,1,0.5,0,loocv,avg,1,0.21,1e-04,1,4.4757,15.448,0.0133,0.0293,0.4752
polynomial,1,0.5,0.1,loocv,avg,1,1,1e-04,1,4.6292,15.5307,0.014,0.0308,0.479
polynomial,1,0.5,0.2,loocv,avg,1,1,1e-04,1,4.7419,15.8834,0.0179,0.0334,0.5634
polynomial,1,0.5,0.3,loocv,avg,1,1,0.7429,1,4.8026,15.8891,0.0231,0.0371,0.6465
polynomial,1,0.5,0.4,loocv,avg,1,1,0.0015,1,4.8106,15.7314,0.0292,0.0422,0.7118
polynomial,1,0.5,0.5,loocv,avg,1,1,0.0014,1,4.7634,15.3922,0.0362,0.048,0.7761
polynomial,1,0.5,0.6,loocv,avg,1,1,0.0019,1,4.7224,15.2882,0.0429,0.0532,0.8243
polynomial,1,0.5,0.7,loocv,avg,1,1,2.2323,1,4.5102,14.759,0.0499,0.0584,0.8732
polynomial,1,0.5,0.8,loocv,avg,1,1,4.4603,1,4.391,14.3828,0.0557,0.067,0.8451
polynomial,1,0.5,0.9,loocv,avg,1,1,5.2048,1,4.2591,14.1136,0.0639,0.0728,0.8929
polynomial,1,0.5,1,loocv,avg,1,1,3.7216,1,4.2462,14.2157,0.07,0.08,0.8912
polynomial,1,0.5,0,loocv,exp,1,0.17,4e-04,1,4.9899,13.2272,0.0096,0.0132,0.7669
polynomial,1,0.5,0.1,loocv,exp,1,1,9e-04,1,4.9792,13.1748,0.012,0.0157,0.7861
polynomial,1,0.5,0.2,loocv,exp,1,1,0.0017,1,4.9583,13.0847,0.0167,0.021,0.8151
polynomial,1,0.5,0.3,loocv,exp,1,1,0.0042,1,4.9013,12.6703,0.0229,0.0264,0.8861
polynomial,1,0.5,0.4,loocv,exp,1,1,0.0082,1,4.807,12.59,0.0293,0.0329,0.9073
polynomial,1,0.5,0.5,loocv,exp,1,1,0.0116,1,4.76,12.5882,0.0355,0.0404,0.8934
polynomial,1,0.5,0.6,loocv,exp,1,1,0.0145,1,4.6729,12.6604,0.0424,0.0476,0.9039
polynomial,1,0.5,0.7,loocv,exp,1,1,1.5029,1,4.5141,12.4576,0.0493,0.0542,0.9279
polynomial,1,0.5,0.8,loocv,exp,1,1,3.7318,1,4.4047,12.385,0.0563,0.0619,0.9227
polynomial,1,0.5,0.9,loocv,exp,1,1,1.5113,1,4.347,12.5375,0.0635,0.0688,0.936
polynomial,1,0.5,1,loocv,exp,1,1,2.257,1,4.2632,12.5478,0.0695,0.0769,0.9203
polynomial,1,0.5,0,loocv,erm,1,0.185,6e-04,1,4.9847,13.1863,0.0097,0.0135,0.7566
polynomial,1,0.5,0.1,loocv,erm,1,1,9e-04,1,4.9768,13.0294,0.012,0.0155,0.8046
polynomial,1,0.5,0.2,loocv,erm,1,1,0.0026,1,4.9418,12.9335,0.0169,0.0202,0.8516
polynomial,1,0.5,0.3,loocv,erm,1,1,0.0056,1,4.8899,12.6554,0.0229,0.0264,0.886
polynomial,1,0.5,0.4,loocv,erm,1,1,0.0081,1,4.8354,12.6614,0.029,0.033,0.8937
polynomial,1,0.5,0.5,loocv,erm,1,0.995,0.0109,1,4.7692,12.5683,0.0358,0.0401,0.9069
polynomial,1,0.5,0.6,loocv,erm,1,0.995,0.0138,1,4.71,12.6299,0.0427,0.0472,0.9185
polynomial,1,0.5,0.7,loocv,erm,1,0.995,0.0214,1,4.5908,12.5449,0.0492,0.0545,0.9165
polynomial,1,0.5,0.8,loocv,erm,1,0.995,0.1074,1,4.4916,12.5549,0.0565,0.0615,0.9345
polynomial,1,0.5,0.9,loocv,erm,1,0.985,0.0365,1,4.4182,12.5869,0.0632,0.0685,0.9409
polynomial,1,0.5,1,loocv,erm,1,0.99,0.0559,1,4.2752,12.488,0.0706,0.0759,0.944
polynomial,1,0.5,0,AICc,avg,1,0.16,0,1,4.6167,15.2894,0.0116,0.03,0.4074
polynomial,1,0.5,0.1,AICc,avg,1,1,0,1,4.7207,15.4864,0.0128,0.03,0.4516
polynomial,1,0.5,0.2,AICc,avg,1,1,1e-04,1,4.8444,15.9204,0.0172,0.0325,0.5621
polynomial,1,0.5,0.3,AICc,avg,1,1,2e-04,1,4.8821,16.3161,0.0231,0.0374,0.6409
polynomial,1,0.5,0.4,AICc,avg,1,1,9e-04,1,4.8654,16.4182,0.0291,0.0423,0.7096
polynomial,1,0.5,0.5,AICc,avg,1,1,4e-04,1,4.8702,16.4096,0.0357,0.047,0.7814
polynomial,1,0.5,0.6,AICc,avg,1,1,1.4854,1,4.767,15.947,0.0429,0.0529,0.831
polynomial,1,0.5,0.7,AICc,avg,1,1,0.0026,1,4.7538,15.9194,0.0493,0.0601,0.8358
polynomial,1,0.5,0.8,AICc,avg,1,1,0.0028,1,4.6991,15.7143,0.056,0.0661,0.8618
polynomial,1,0.5,0.9,AICc,avg,1,1,1.4895,1,4.5673,15.3597,0.0629,0.0726,0.8835
polynomial,1,0.5,1,AICc,avg,1,1,0.7495,1,4.5372,15.3547,0.07,0.0784,0.908
polynomial,1,0.5,0,AICc,exp,1,0.165,5e-04,1,4.9888,13.0842,0.0097,0.0137,0.7432
polynomial,1,0.5,0.1,AICc,exp,1,1,6e-04,1,4.9851,13.084,0.012,0.016,0.7808
polynomial,1,0.5,0.2,AICc,exp,1,1,0.0015,1,4.9632,12.9979,0.017,0.0204,0.8483
polynomial,1,0.5,0.3,AICc,exp,1,1,0.0023,1,4.9378,13.0617,0.0227,0.0266,0.8676
polynomial,1,0.5,0.4,AICc,exp,1,1,0.0051,1,4.8807,13.0788,0.029,0.0335,0.8773
polynomial,1,0.5,0.5,AICc,exp,1,1,0.0047,1,4.876,13.1854,0.0359,0.0403,0.9051
polynomial,1,0.5,0.6,AICc,exp,1,1,0.0077,1,4.7874,13.0775,0.0425,0.047,0.9173
polynomial,1,0.5,0.7,AICc,exp,1,1,0.0083,1,4.7685,13.1852,0.0494,0.0542,0.924
polynomial,1,0.5,0.8,AICc,exp,1,1,0.7552,1,4.6469,13.1342,0.0556,0.0618,0.9117
polynomial,1,0.5,0.9,AICc,exp,1,1,1.4978,1,4.5607,13.1058,0.0627,0.0695,0.9178
polynomial,1,0.5,1,AICc,exp,1,1,0.7566,1,4.5466,13.2487,0.069,0.0768,0.9124
polynomial,1,0.5,0,AICc,erm,1,0.205,4e-04,1,4.9895,13.0948,0.0098,0.0135,0.7635
polynomial,1,0.5,0.1,AICc,erm,1,1,0.0013,1,4.9709,13.0622,0.012,0.0154,0.8069
polynomial,1,0.5,0.2,AICc,erm,1,1,0.0012,1,4.9672,13.2315,0.0168,0.0206,0.8397
polynomial,1,0.5,0.3,AICc,erm,1,1,0.0021,1,4.9397,13.2408,0.0228,0.0263,0.8795
polynomial,1,0.5,0.4,AICc,erm,1,1,0.003,1,4.9107,13.2788,0.0291,0.0334,0.886
polynomial,1,0.5,0.5,AICc,erm,1,1,0.0045,1,4.8714,13.3721,0.0356,0.0403,0.8999
polynomial,1,0.5,0.6,AICc,erm,1,0.995,0.0067,1,4.8001,13.2187,0.0419,0.0475,0.8982
polynomial,1,0.5,0.7,AICc,erm,1,0.995,0.0082,1,4.7285,13.318,0.0488,0.0545,0.9107
