V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
polynomial,1,0.5,0,loocv,avg,1,0.05,2e-04,1,4.9909,13.7515,0.0098,32.5565,3e-04
polynomial,1,0.5,0.05,loocv,avg,1,0.73,3e-04,1,4.9857,13.6438,0.0103,31.5976,4e-04
polynomial,1,0.5,0.1,loocv,avg,1,1,6e-04,1,4.9699,13.3398,0.012,31.195,5e-04
polynomial,1,0.5,0.15,loocv,avg,1,1,9e-04,1,4.9609,13.0077,0.0142,30.8399,6e-04
polynomial,1,0.5,0.2,loocv,avg,1,1,0.0012,1,4.9477,12.6867,0.0167,30.4969,6e-04
polynomial,1,0.5,0.25,loocv,avg,1,1,0.0015,1,4.9385,12.3388,0.0199,31.9925,7e-04
polynomial,1,0.5,0.3,loocv,avg,1,1,0.0025,1,4.9175,12.0815,0.0226,32.0461,8e-04
polynomial,1,0.5,0.4,loocv,avg,1,1,0.0041,1,4.8561,11.574,0.0292,31.3322,0.0011
polynomial,1,0.5,0.5,loocv,avg,1,1,0.0067,1,4.7523,11.1854,0.0355,30.3685,0.0063
polynomial,1,0.5,0.6,loocv,avg,1,1,0.0067,1,4.7245,10.7936,0.0432,31.763,0.0016
polynomial,1,0.5,0.7,loocv,avg,1,1,0.0111,1,4.599,10.5105,0.0498,30.5127,0.012
polynomial,1,0.5,0.8,loocv,avg,1,1,0.0111,1,4.4724,10.2639,0.0564,29.5403,0.0117
polynomial,1,0.5,0.9,loocv,avg,1,1,0.0183,1,4.3157,10.0328,0.0634,28.9939,0.037
polynomial,1,0.5,1,loocv,avg,1,1,0.0302,1,4.2412,9.8252,0.0704,28.4007,0.0241
polynomial,1,0.5,0,AICc,avg,1,0.05,2e-04,1,4.9875,13.7658,0.0097,31.4186,4e-04
polynomial,1,0.5,0.05,AICc,avg,1,0.78,3e-04,1,4.9892,13.6267,0.0104,32.0265,4e-04
polynomial,1,0.5,0.1,AICc,avg,1,1,3e-04,1,4.9852,13.3804,0.0118,32.3278,4e-04
polynomial,1,0.5,0.15,AICc,avg,1,1,6e-04,1,4.9794,12.9959,0.0143,31.9553,5e-04
polynomial,1,0.5,0.2,AICc,avg,1,1,9e-04,1,4.961,12.6661,0.0169,30.4897,7e-04
polynomial,1,0.5,0.25,AICc,avg,1,1,9e-04,1,4.9535,12.3179,0.0201,31.5411,7e-04
polynomial,1,0.5,0.3,AICc,avg,1,1,0.0015,1,4.9352,12.0747,0.0227,30.623,9e-04
polynomial,1,0.5,0.4,AICc,avg,1,1,0.0025,1,4.9173,11.5576,0.0294,31.6352,0.0011
polynomial,1,0.5,0.5,AICc,avg,1,1,0.0041,1,4.8747,11.1698,0.0357,30.9959,0.0013
polynomial,1,0.5,0.6,AICc,avg,1,1,0.0041,1,4.8483,10.8464,0.0419,32.3475,0.0015
polynomial,1,0.5,0.7,AICc,avg,1,1,0.0067,1,4.6797,10.5361,0.0491,29.8389,0.0123
polynomial,1,0.5,0.8,AICc,avg,1,1,0.0067,1,4.6539,10.2652,0.0562,31.0013,0.0082
polynomial,1,0.5,0.9,AICc,avg,1,1,0.0111,1,4.5524,10.0313,0.0633,29.2163,0.0075
polynomial,1,0.5,1,AICc,avg,1,1,0.0111,1,4.5966,9.8366,0.0697,30.7997,0.0027
polynomial,1,0.5,0,GCVc,avg,1,0.055,2e-04,1,4.9904,13.7638,0.0097,31.2049,4e-04
polynomial,1,0.5,0.05,GCVc,avg,1,0.69,2e-04,1,4.9908,13.6528,0.0103,32.4766,4e-04
polynomial,1,0.5,0.1,GCVc,avg,1,1,3e-04,1,4.9843,13.3531,0.0119,31.1224,4e-04
polynomial,1,0.5,0.15,GCVc,avg,1,1,6e-04,1,4.9795,13.001,0.0142,31.7945,5e-04
polynomial,1,0.5,0.2,GCVc,avg,1,1,6e-04,1,4.9725,12.6717,0.0168,32.4175,6e-04
polynomial,1,0.5,0.25,GCVc,avg,1,1,9e-04,1,4.96,12.3555,0.0197,31.4824,7e-04
polynomial,1,0.5,0.3,GCVc,avg,1,1,0.0015,1,4.9474,12.0395,0.0231,32.1079,8e-04
polynomial,1,0.5,0.4,GCVc,avg,1,1,0.0025,1,4.8952,11.5653,0.0293,31.4669,0.007
polynomial,1,0.5,0.5,GCVc,avg,1,1,0.0025,1,4.8635,11.1856,0.0354,31.3675,0.0018
polynomial,1,0.5,0.6,GCVc,avg,1,1,0.0041,1,4.8126,10.8333,0.0423,30.9361,0.0017
polynomial,1,0.5,0.7,GCVc,avg,1,1,0.0067,1,4.7809,10.5404,0.0489,31.2253,0.0019
polynomial,1,0.5,0.8,GCVc,avg,1,1,0.0067,1,4.6399,10.2452,0.0568,29.9298,0.0122
polynomial,1,0.5,0.9,GCVc,avg,1,1,0.0111,1,4.6141,10.0121,0.0638,30.5656,0.0085
polynomial,1,0.5,1,GCVc,avg,1,1,0.0111,1,4.5438,9.83,0.07,29.9936,0.0071
polynomial,1,0.5,0,gmpml,avg,1,0.03,2e-04,1,4.9884,13.75,0.0098,32.2175,3e-04
polynomial,1,0.5,0.05,gmpml,avg,1,0.755,3e-04,1,4.986,13.6305,0.0104,32.5245,4e-04
polynomial,1,0.5,0.1,gmpml,avg,1,0.995,3e-04,1,4.9842,13.3482,0.012,32.9521,4e-04
polynomial,1,0.5,0.15,gmpml,avg,1,1,6e-04,1,4.9789,13.0018,0.0142,32.8471,5e-04
polynomial,1,0.5,0.2,gmpml,avg,1,1,9e-04,1,4.9647,12.6794,0.0167,30.7216,6e-04
polynomial,1,0.5,0.25,gmpml,avg,1,1,9e-04,1,4.9504,12.348,0.0198,30.8824,7e-04
polynomial,1,0.5,0.3,gmpml,avg,1,1,0.0015,1,4.919,12.0544,0.0229,30.5746,9e-04
polynomial,1,0.5,0.4,gmpml,avg,1,1,0.0025,1,4.8908,11.5389,0.0297,31.0128,0.0011
polynomial,1,0.5,0.5,gmpml,avg,1,1,0.0041,1,4.8167,11.1645,0.0358,30.4205,0.0056
polynomial,1,0.5,0.6,gmpml,avg,1,1,0.0041,1,4.811,10.8098,0.0428,31.934,0.0016
polynomial,1,0.5,0.7,gmpml,avg,1,1,0.0067,1,4.7146,10.5291,0.0492,30.4184,0.0067
polynomial,1,0.5,0.8,gmpml,avg,1,1,0.0111,1,4.5918,10.2771,0.056,29.9581,0.0086
polynomial,1,0.5,0.9,gmpml,avg,1,1,0.0111,1,4.4785,10.0547,0.0626,29.0038,0.0126
polynomial,1,0.5,1,gmpml,avg,1,1,0.0183,1,4.4285,9.8162,0.0706,29.1725,0.0088
polynomial,2,1,0,loocv,avg,1,0.05,3e-04,1,10.9405,13.7121,0.0094,164.5083,1e-04
polynomial,2,1,0.05,loocv,avg,1,0.22,3e-04,1,10.8946,13.5857,0.01,165.2771,1e-04
polynomial,2,1,0.1,loocv,avg,1,0.515,6e-04,1,10.8512,13.3528,0.0112,163.0416,1e-04
polynomial,2,1,0.15,loocv,avg,1,0.73,9e-04,1,10.7711,12.9808,0.0136,162.6272,1e-04
polynomial,2,1,0.2,loocv,avg,1,0.82,0.0015,1,10.6296,12.6398,0.0162,163.5171,1e-04
polynomial,2,1,0.25,loocv,avg,1,0.82,0.0025,1,10.4728,12.3998,0.0184,159.3376,1e-04
polynomial,2,1,0.3,loocv,avg,1,0.79,0.0041,1,10.2337,12.1085,0.0214,156.6507,1e-04
polynomial,2,1,0.4,loocv,avg,1,0.845,0.0067,1,9.8009,11.623,0.0276,151.3737,2e-04
polynomial,2,1,0.5,loocv,avg,1,0.845,0.0111,1,9.1944,11.2206,0.0342,140.3319,0.0052
polynomial,2,1,0.6,loocv,avg,1,0.895,0.0111,1,8.9048,10.9318,0.04,141.9039,3e-04
polynomial,2,1,0.7,loocv,avg,1,0.86,0.0183,1,8.1512,10.554,0.0484,128.0795,5e-04
polynomial,2,1,0.8,loocv,avg,1,0.875,0.0302,1,7.3828,10.2743,0.0563,122.5379,0.0091
polynomial,2,1,0.9,loocv,avg,1,0.915,0.0498,1,6.786,10.0647,0.063,113.3683,0.0663
polynomial,2,1,1,loocv,avg,1,0.86,0.0498,1,6.5817,9.9379,0.0677,114.747,0.0932
polynomial,2,1,0,AICc,avg,1,0.045,3e-04,1,10.9453,13.7102,0.0094,162.8335,1e-04
polynomial,2,1,0.05,AICc,avg,1,0.2,3e-04,1,10.9345,13.5996,0.0099,163.527,1e-04
polynomial,2,1,0.1,AICc,avg,1,0.59,6e-04,1,10.9181,13.3226,0.0114,163.6462,1e-04
polynomial,2,1,0.15,AICc,avg,1,0.8,6e-04,1,10.8876,12.9953,0.0134,165.9533,1e-04
polynomial,2,1,0.2,AICc,avg,1,0.745,9e-04,1,10.8508,12.7253,0.0155,165.0623,1e-04
polynomial,2,1,0.25,AICc,avg,1,0.835,0.0015,1,10.7843,12.4155,0.0182,160.6662,1e-04
polynomial,2,1,0.3,AICc,avg,1,0.825,0.0015,1,10.7211,12.1464,0.0209,162.7813,1e-04
polynomial,2,1,0.4,AICc,avg,1,0.835,0.0025,1,10.5401,11.6786,0.0266,160.8583,2e-04
polynomial,2,1,0.5,AICc,avg,1,0.9,0.0041,1,10.3113,11.2904,0.0324,161.0485,2e-04
polynomial,2,1,0.6,AICc,avg,1,0.885,0.0041,1,10.1343,10.9207,0.0392,164.3028,3e-04
polynomial,2,1,0.7,AICc,avg,1,0.915,0.0067,1,9.9167,10.5976,0.046,162.3432,3e-04
polynomial,2,1,0.8,AICc,avg,1,0.895,0.0067,1,9.7259,10.4217,0.0508,161.5413,3e-04
polynomial,2,1,0.9,AICc,avg,1,0.91,0.0111,1,9.5633,10.1748,0.0573,167.8384,4e-04
polynomial,2,1,1,AICc,avg,1,0.92,0.0111,1,9.1756,9.9825,0.0635,162.1937,5e-04
polynomial,2,1,0,GCVc,avg,1,0.045,3e-04,1,10.9507,13.7078,0.0094,163.6447,1e-04
polynomial,2,1,0.05,GCVc,avg,1,0.22,3e-04,1,10.9415,13.5698,0.01,162.2177,1e-04
polynomial,2,1,0.1,GCVc,avg,1,0.54,3e-04,1,10.9321,13.333,0.0113,165.1325,1e-04
polynomial,2,1,0.15,GCVc,avg,1,0.7,6e-04,1,10.9049,13.0268,0.0133,166.1025,1e-04
polynomial,2,1,0.2,GCVc,avg,1,0.765,9e-04,1,10.8643,12.7059,0.0156,163.3809,1e-04
polynomial,2,1,0.25,GCVc,avg,1,0.81,9e-04,1,10.8249,12.4032,0.0182,163.3002,1e-04
polynomial,2,1,0.3,GCVc,avg,1,0.825,0.0015,1,10.767,12.1508,0.0208,165.6666,1e-04
polynomial,2,1,0.4,GCVc,avg,1,0.885,0.0025,1,10.6387,11.675,0.0266,167.8648,2e-04
polynomial,2,1,0.5,GCVc,avg,1,0.855,0.0041,1,10.4405,11.2477,0.033,163.7467,2e-04
polynomial,2,1,0.6,GCVc,avg,1,0.885,0.0041,1,10.274,10.9304,0.0389,163.7211,3e-04
polynomial,2,1,0.7,GCVc,avg,1,0.885,0.0067,1,10.0526,10.6885,0.044,166.1465,3e-04
polynomial,2,1,0.8,GCVc,avg,1,0.865,0.0067,1,9.9183,10.371,0.0519,167.4387,3e-04
polynomial,2,1,0.9,GCVc,avg,1,0.95,0.0111,1,9.5153,10.1513,0.058,162.6734,4e-04
polynomial,2,1,1,GCVc,avg,1,0.915,0.0111,1,9.3021,9.9294,0.0646,159.8139,5e-04
polynomial,2,1,0,gmpml,avg,1,0.055,3e-04,1,10.9498,13.6986,0.0094,164.5094,1e-04
polynomial,2,1,0.05,gmpml,avg,1,0.19,3e-04,1,10.9449,13.6025,0.0099,163.7501,1e-04
polynomial,2,1,0.1,gmpml,avg,1,0.54,3e-04,1,10.9285,13.3163,0.0114,166.0292,1e-04
polynomial,2,1,0.15,gmpml,avg,1,0.75,6e-04,1,10.9016,13.0001,0.0134,166.5856,1e-04
polynomial,2,1,0.2,gmpml,avg,1,0.79,9e-04,1,10.8546,12.6449,0.0161,165.4769,1e-04
polynomial,2,1,0.25,gmpml,avg,1,0.845,9e-04,1,10.8132,12.4108,0.0182,165.2766,1e-04
polynomial,2,1,0.3,gmpml,avg,1,0.82,0.0015,1,10.7507,12.1309,0.021,163.8847,1e-04
polynomial,2,1,0.4,gmpml,avg,1,0.895,0.0025,1,10.5841,11.644,0.027,163.7823,2e-04
polynomial,2,1,0.5,gmpml,avg,1,0.9,0.0041,1,10.4539,11.2902,0.0324,165.9612,2e-04
polynomial,2,1,0.6,gmpml,avg,1,0.905,0.0041,1,10.2096,10.9108,0.0394,161.6722,3e-04
polynomial,2,1,0.7,gmpml,avg,1,0.88,0.0067,1,10.0545,10.5903,0.0463,171.5689,3e-04
polynomial,2,1,0.8,gmpml,avg,1,0.92,0.0067,1,9.746,10.4031,0.0513,162.9811,4e-04
polynomial,2,1,0.9,gmpml,avg,1,0.885,0.0111,1,9.4697,10.1347,0.0584,161.695,4e-04
polynomial,2,1,1,gmpml,avg,1,0.88,0.0111,1,9.2384,10.0341,0.0624,165.8789,0.0107
polynomial,3,1.5,0,loocv,avg,1,0.045,6e-04,1,18.0482,13.6198,0.009,1039.5785,0
polynomial,3,1.5,0.05,loocv,avg,1,0.215,9e-04,1,17.643,13.5283,0.0095,1025.4419,0
polynomial,3,1.5,0.1,loocv,avg,1,0.46,0.0012,1,17.2378,13.3191,0.0106,1014.6728,0
polynomial,3,1.5,0.15,loocv,avg,1,0.685,0.0025,1,16.2917,12.9834,0.0129,989.9019,0
polynomial,3,1.5,0.2,loocv,avg,1,0.745,0.0033,1,15.5922,12.7338,0.0149,982.751,0
polynomial,3,1.5,0.25,loocv,avg,1,0.805,0.0041,1,15.3084,12.5256,0.0168,984.7173,0
polynomial,3,1.5,0.3,loocv,avg,1,0.795,0.0054,1,14.5514,12.3096,0.0192,971.5976,0
polynomial,3,1.5,0.4,loocv,avg,1,0.875,0.0111,1,13.1595,11.8424,0.0251,950.3074,0.0019
polynomial,3,1.5,0.5,loocv,avg,1,0.85,0.0111,1,12.249,11.4764,0.0311,928.9018,0.0012
polynomial,3,1.5,0.6,loocv,avg,1,0.9,0.0302,1,10.7267,11.0612,0.0386,862.4296,0.0019
polynomial,3,1.5,0.7,loocv,avg,1,0.925,0.0302,1,10.0319,10.7983,0.0446,853.96,0.0021
polynomial,3,1.5,0.8,loocv,avg,1,0.93,0.0302,1,9.8375,10.6786,0.0495,816.0055,0.0104
polynomial,3,1.5,0.9,loocv,avg,1,0.93,0.0498,1,9.0345,10.384,0.0561,847.7244,0.0085
polynomial,3,1.5,1,loocv,avg,1,0.945,0.0821,1,7.7168,10.0365,0.0673,764.3892,0.017
polynomial,3,1.5,0,AICc,avg,1,0.04,9e-04,1,17.5065,13.6175,0.0091,1022.1609,0
polynomial,3,1.5,0.05,AICc,avg,1,0.285,0.0012,1,17.3626,13.532,0.0095,1026.7874,0
polynomial,3,1.5,0.1,AICc,avg,1,0.525,0.0015,1,17.177,13.3235,0.0106,1016.1307,0
polynomial,3,1.5,0.15,AICc,avg,1,0.675,0.0015,1,17.0925,13.0984,0.012,1039.4935,0
polynomial,3,1.5,0.2,AICc,avg,1,0.725,0.0015,1,16.7384,12.8228,0.0139,1001.5377,0
