V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
polynomial,1,0.5,0,loocv,avg,1,0.03,0.828,7938.5793,4.9898,11.747,0.0097,31.5026,4e-04
polynomial,1,0.5,0.05,loocv,avg,1,0.625,0.7959,7505.159,4.989,11.3312,0.0102,31.9205,4e-04
polynomial,1,0.5,0.1,loocv,avg,1,0.915,0.878,5619.6387,4.9836,11.6824,0.0118,32.6424,4e-04
polynomial,1,0.5,0.15,loocv,avg,1,0.965,0.9018,4173.9347,4.9718,12.2871,0.014,32.5914,5e-04
polynomial,1,0.5,0.2,loocv,avg,1,0.985,0.9644,2186.8985,4.9388,12.3386,0.0169,30.0491,7e-04
polynomial,1,0.5,0.25,loocv,avg,1,0.975,0.97,1902.8406,4.9357,11.8063,0.0199,32.0179,7e-04
polynomial,1,0.5,0.3,loocv,avg,1,1,0.995,799.0558,4.8835,12.0548,0.0229,31.0895,9e-04
polynomial,1,0.5,0.4,loocv,avg,1,1,0.99,657.701,4.8335,11.5661,0.0293,31.234,0.0012
polynomial,1,0.5,0.5,loocv,avg,1,0.995,1.7321,378.6719,4.7715,11.0777,0.0355,30.5614,0.0057
polynomial,1,0.5,0.6,loocv,avg,1,1,1,158.1303,4.6857,10.8207,0.0425,30.2777,0.0018
polynomial,1,0.5,0.7,loocv,avg,1,1,1.7321,331.3367,4.5727,10.5466,0.0489,29.34,0.0086
polynomial,1,0.5,0.8,loocv,avg,1,1,4.6853,71.4434,4.3532,10.254,0.0567,27.6731,0.0289
polynomial,1,0.5,0.9,loocv,avg,1,1,3.9483,59.0267,4.312,10.0271,0.0636,28.0768,0.024
polynomial,1,0.5,1,loocv,avg,1,1,4.6853,53.7896,4.294,9.8481,0.0696,29.3089,0.0301
polynomial,1,0.5,0,AICc,avg,1,0.05,1,4237.1779,4.9883,13.7637,0.0097,31.3102,4e-04
polynomial,1,0.5,0.05,AICc,avg,1,0.72,1,3671.2336,4.9885,13.6522,0.0103,31.4761,4e-04
polynomial,1,0.5,0.1,AICc,avg,1,0.99,1,2778.6584,4.9829,13.3572,0.0119,31.4928,4e-04
polynomial,1,0.5,0.15,AICc,avg,1,1,1,2087.9665,4.9792,13.0206,0.0141,32.0348,5e-04
polynomial,1,0.5,0.2,AICc,avg,1,1,1,1374.8353,4.9667,12.6482,0.017,31.3875,6e-04
polynomial,1,0.5,0.25,AICc,avg,1,1,1,1013.5706,4.9528,12.3441,0.0198,30.8446,8e-04
polynomial,1,0.5,0.3,AICc,avg,1,1,1,773.215,4.9309,12.0702,0.0227,31.2223,9e-04
polynomial,1,0.5,0.4,AICc,avg,1,1,1.7371,474.2102,4.8814,11.5838,0.029,30.8181,0.0059
polynomial,1,0.5,0.5,AICc,avg,1,1,1,301.5329,4.8495,11.1492,0.0361,30.4481,0.0016
