"n","method","p","l","int_effect","mode","strategy","beta","d"
100,"polynomial",1,0.5,0,"AICc","avg","min",1
100,"rbf",1,0.5,0,"AICc","avg","min",1
100,"polynomial",2,1,0,"AICc","avg","min",1
100,"rbf",2,1,0,"AICc","avg","min",1
100,"polynomial",3,1.5,0,"AICc","avg","min",1
100,"rbf",3,1.5,0,"AICc","avg","min",1
100,"polynomial",1,0.5,0.05,"AICc","avg","min",1
100,"rbf",1,0.5,0.05,"AICc","avg","min",1
100,"polynomial",2,1,0.05,"AICc","avg","min",1
100,"rbf",2,1,0.05,"AICc","avg","min",1
100,"polynomial",3,1.5,0.05,"AICc","avg","min",1
100,"rbf",3,1.5,0.05,"AICc","avg","min",1
100,"polynomial",1,0.5,0.1,"AICc","avg","min",1
100,"rbf",1,0.5,0.1,"AICc","avg","min",1
100,"polynomial",2,1,0.1,"AICc","avg","min",1
100,"rbf",2,1,0.1,"AICc","avg","min",1
100,"polynomial",3,1.5,0.1,"AICc","avg","min",1
100,"rbf",3,1.5,0.1,"AICc","avg","min",1
100,"polynomial",1,0.5,0.15,"AICc","avg","min",1
100,"rbf",1,0.5,0.15,"AICc","avg","min",1
100,"polynomial",2,1,0.15,"AICc","avg","min",1
100,"rbf",2,1,0.15,"AICc","avg","min",1
100,"polynomial",3,1.5,0.15,"AICc","avg","min",1
100,"rbf",3,1.5,0.15,"AICc","avg","min",1
100,"polynomial",1,0.5,0.2,"AICc","avg","min",1
100,"rbf",1,0.5,0.2,"AICc","avg","min",1
100,"polynomial",2,1,0.2,"AICc","avg","min",1
100,"rbf",2,1,0.2,"AICc","avg","min",1
100,"polynomial",3,1.5,0.2,"AICc","avg","min",1
100,"rbf",3,1.5,0.2,"AICc","avg","min",1
100,"polynomial",1,0.5,0.25,"AICc","avg","min",1
100,"rbf",1,0.5,0.25,"AICc","avg","min",1
100,"polynomial",2,1,0.25,"AICc","avg","min",1
100,"rbf",2,1,0.25,"AICc","avg","min",1
100,"polynomial",3,1.5,0.25,"AICc","avg","min",1
100,"rbf",3,1.5,0.25,"AICc","avg","min",1
100,"polynomial",1,0.5,0.3,"AICc","avg","min",1
100,"rbf",1,0.5,0.3,"AICc","avg","min",1
100,"polynomial",2,1,0.3,"AICc","avg","min",1
100,"rbf",2,1,0.3,"AICc","avg","min",1
100,"polynomial",3,1.5,0.3,"AICc","avg","min",1
100,"rbf",3,1.5,0.3,"AICc","avg","min",1
100,"polynomial",1,0.5,0.4,"AICc","avg","min",1
100,"rbf",1,0.5,0.4,"AICc","avg","min",1
100,"polynomial",2,1,0.4,"AICc","avg","min",1
100,"rbf",2,1,0.4,"AICc","avg","min",1
100,"polynomial",3,1.5,0.4,"AICc","avg","min",1
