V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
polynomial,1,0.5,0,AIC,avg,1,0.06,0.06,148.4132,1,1.6438,3.3234,2.0246,2.0651,1.0684
polynomial,1,0.5,0.05,AIC,avg,1,0.075,0.06,148.4132,1,1.641,3.3299,1.9575,2.0275,1.0342
polynomial,1,0.5,0.1,AIC,avg,1,0.065,0.06,148.4132,1,1.7025,3.331,1.9237,2.0047,1.0207
polynomial,1,0.5,0.15,AIC,avg,1,0.07,0.065,148.4132,1,1.6003,3.4032,1.8582,1.9879,1.001
polynomial,1,0.5,0.2,AIC,avg,1,0.06,0.06,148.4132,1,1.6177,3.3737,1.8731,2.0851,0.9673
polynomial,1,0.5,0.25,AIC,avg,1,0.105,0.09,148.4132,1,1.592,3.3187,2.0363,1.9659,1.0501
polynomial,1,0.5,0.3,AIC,avg,1,0.045,0.04,148.4132,1,1.6524,3.3832,1.8526,2.0237,0.9929
polynomial,1,0.5,0.4,AIC,avg,1,0.03,0.035,148.4132,1,1.5342,3.3089,2.0022,2.0011,1.0609
polynomial,1,0.5,0.5,AIC,avg,1,0.04,0.07,148.4132,1,1.617,3.3551,1.901,2.0615,0.9928
polynomial,1,0.5,0.6,AIC,avg,1,0.045,0.035,148.4132,1,1.5809,3.274,2.0768,1.947,1.125
polynomial,1,0.5,0.7,AIC,avg,1,0.055,0.05,148.4132,1,1.7129,3.3078,1.9749,2.1055,1.0196
polynomial,1,0.5,0.8,AIC,avg,1,0.08,0.075,148.4132,1,1.6115,3.3598,1.9106,2.1387,0.9961
polynomial,1,0.5,0.9,AIC,avg,1,0.055,0.06,148.4132,1,1.5605,3.3408,1.9864,1.9919,1.0422
polynomial,1,0.5,1,AIC,avg,1,0.09,0.085,148.4132,1,1.527,3.3656,1.9105,2.0375,1.0113
polynomial,1,0.5,0,BIC,avg,1,0.075,0.08,148.4132,1,1.0363,3.268,2.0795,2.1048,1.1004
polynomial,1,0.5,0.05,BIC,avg,1,0.04,0.045,148.4132,1,1.0796,3.3592,1.9136,2.0743,1.0121
polynomial,1,0.5,0.1,BIC,avg,1,0.045,0.05,148.4132,1,1.0834,3.3362,1.949,1.9008,1.0736
polynomial,1,0.5,0.15,BIC,avg,1,0.065,0.065,148.4132,1,1.0474,3.2935,2.0028,2.1224,1.0694
polynomial,1,0.5,0.2,BIC,avg,1,0.06,0.065,148.4132,1,1.0534,3.2889,1.9744,1.945,1.0859
polynomial,1,0.5,0.25,BIC,avg,1,0.05,0.035,148.4132,1,1.0701,3.3501,1.917,1.996,1.0176
polynomial,1,0.5,0.3,BIC,avg,1,0.065,0.075,148.4132,1,1.0287,3.3736,1.8888,1.989,1.0179
polynomial,1,0.5,0.4,BIC,avg,1,0.07,0.07,148.4132,1,1.0577,3.2815,1.9993,1.9924,1.0651
polynomial,1,0.5,0.5,BIC,avg,1,0.055,0.05,148.4132,1,1.0416,3.354,1.91,1.9752,1.0574
polynomial,1,0.5,0.6,BIC,avg,1,0.08,0.07,148.4132,1,1.0728,3.4109,1.8618,1.9494,1.0462
