V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
polynomial,1,0.5,0,AIC,avg,1,0.04,0.03,148.4132,1,1.6393,4.1194,1.2619,1.3272,0.9686
polynomial,1,0.5,0.05,AIC,avg,1,0.07,0.06,148.4132,1,1.5654,4.0906,1.2803,1.3178,0.9893
polynomial,1,0.5,0.1,AIC,avg,1,0.06,0.07,148.4132,1,1.5965,4.1473,1.2449,1.3143,0.9654
polynomial,1,0.5,0.15,AIC,avg,1,0.055,0.06,148.4132,1,1.6462,4.1211,1.2592,1.3273,0.9639
polynomial,1,0.5,0.2,AIC,avg,1,0.065,0.055,148.4132,1,1.631,4.1178,1.2608,1.3055,0.9804
polynomial,1,0.5,0.25,AIC,avg,1,0.055,0.05,148.4132,1,1.6718,4.1263,1.2561,1.3462,0.9491
polynomial,1,0.5,0.3,AIC,avg,1,0.045,0.045,148.4132,1,1.6174,4.1287,1.2576,1.3384,0.955
polynomial,1,0.5,0.4,AIC,avg,1,0.04,0.035,148.4132,1,1.6554,4.1472,1.2434,1.3444,0.9427
polynomial,1,0.5,0.5,AIC,avg,1,0.035,0.035,148.4132,1,1.65,4.1316,1.2526,1.3195,0.9618
polynomial,1,0.5,0.6,AIC,avg,1,0.04,0.04,148.4132,1,1.5994,4.0992,1.2753,1.3092,0.9877
polynomial,1,0.5,0.7,AIC,avg,1,0.05,0.05,148.4132,1,1.6449,4.0962,1.2742,1.3209,0.9827
polynomial,1,0.5,0.8,AIC,avg,1,0.08,0.08,148.4132,1,1.5266,4.1023,1.2727,1.3206,0.9754
polynomial,1,0.5,0.9,AIC,avg,1,0.04,0.04,148.4132,1,1.6412,4.126,1.2575,1.3268,0.9622
polynomial,1,0.5,1,AIC,avg,1,0.025,0.02,148.4132,1,1.6738,4.1165,1.2628,1.3394,0.9602
polynomial,1,0.5,0,BIC,avg,1,0.055,0.07,148.4132,1,1.0523,4.0895,1.2881,1.3072,1.0042
polynomial,1,0.5,0.05,BIC,avg,1,0.055,0.05,148.4132,1,1.0791,4.1191,1.2679,1.327,0.9741
polynomial,1,0.5,0.1,BIC,avg,1,0.05,0.04,148.4132,1,1.039,4.1139,1.274,1.2914,0.9984
polynomial,1,0.5,0.15,BIC,avg,1,0.035,0.035,148.4132,1,1.0415,4.0688,1.3036,1.2798,1.0313
polynomial,1,0.5,0.2,BIC,avg,1,0.04,0.04,148.4132,1,1.0881,4.1128,1.2742,1.2787,1.0087
polynomial,1,0.5,0.25,BIC,avg,1,0.05,0.04,148.4132,1,1.0606,4.1159,1.2721,1.3027,0.9886
polynomial,1,0.5,0.3,BIC,avg,1,0.065,0.06,148.4132,1,1.054,4.1185,1.2698,1.2799,1.006
polynomial,1,0.5,0.4,BIC,avg,1,0.06,0.06,148.4132,1,1.0388,4.137,1.2589,1.2889,0.9894
polynomial,1,0.5,0.5,BIC,avg,1,0.06,0.05,148.4132,1,1.0669,4.119,1.2692,1.2875,1.0027
polynomial,1,0.5,0.6,BIC,avg,1,0.075,0.07,148.4132,1,1.068,4.1004,1.2831,1.2876,1.0084
polynomial,1,0.5,0.7,BIC,avg,1,0.06,0.05,148.4132,1,1.0647,4.1293,1.2635,1.2871,0.9932
polynomial,1,0.5,0.8,BIC,avg,1,0.1,0.09,148.4132,1,1.1109,4.1038,1.2775,1.2863,1.007
polynomial,1,0.5,0.9,BIC,avg,1,0.065,0.055,148.4132,1,1.1217,4.1153,1.272,1.3107,0.9894
polynomial,1,0.5,1,BIC,avg,1,0.095,0.095,148.4132,1,1.0503,4.1298,1.2633,1.304,0.9819
polynomial,1,0.5,0,GCV,avg,1,0.035,0.035,148.4132,1,1.5441,4.1254,1.2579,1.3084,0.9755
polynomial,1,0.5,0.05,GCV,avg,1,0.03,0.03,148.4132,1,1.5954,4.1073,1.2706,1.3206,0.9789
polynomial,1,0.5,0.1,GCV,avg,1,0.055,0.06,148.4132,1,1.6762,4.124,1.2584,1.326,0.9641
polynomial,1,0.5,0.15,GCV,avg,1,0.045,0.04,7.3891,1,1.73,4.1237,1.2575,1.321,0.9646
polynomial,1,0.5,0.2,GCV,avg,1,0.045,0.045,148.4132,1,1.6132,4.1163,1.2667,1.3305,0.9664
polynomial,1,0.5,0.25,GCV,avg,1,0.05,0.045,148.4132,1,1.6601,4.1531,1.2398,1.3274,0.9503
polynomial,1,0.5,0.3,GCV,avg,1,0.055,0.055,148.4132,1,1.6521,4.1077,1.2687,1.3486,0.9606
polynomial,1,0.5,0.4,GCV,avg,1,0.04,0.03,148.4132,1,1.6187,4.1345,1.2518,1.3072,0.9709
polynomial,1,0.5,0.5,GCV,avg,1,0.045,0.045,148.4132,1,1.612,4.0966,1.2775,1.3166,0.9864
polynomial,1,0.5,0.6,GCV,avg,1,0.06,0.05,148.4132,1,1.6632,4.1046,1.2715,1.3459,0.964
polynomial,1,0.5,0.7,GCV,avg,1,0.06,0.045,148.4132,1,1.5578,4.1031,1.2728,1.3167,0.9799
polynomial,1,0.5,0.8,GCV,avg,1,0.06,0.06,148.4132,1,1.6402,4.119,1.262,1.3228,0.9655
polynomial,1,0.5,0.9,GCV,avg,1,0.03,0.03,148.4132,1,1.6596,4.1516,1.2398,1.335,0.9432
polynomial,1,0.5,1,GCV,avg,1,0.075,0.07,148.4132,1,1.6026,4.1218,1.26,1.2832,0.9934
polynomial,1,0.5,0,AICc,avg,1,0.05,0.055,148.4132,1,1.5809,4.1177,1.2626,1.3254,0.9668
polynomial,1,0.5,0.05,AICc,avg,1,0.07,0.07,148.4132,1,1.6218,4.1124,1.2661,1.3041,0.9875
polynomial,1,0.5,0.1,AICc,avg,1,0.09,0.095,148.4132,1,1.5128,4.1372,1.2517,1.307,0.9753
polynomial,1,0.5,0.15,AICc,avg,1,0.055,0.05,148.4132,1,1.493,4.1493,1.2449,1.3001,0.9722
polynomial,1,0.5,0.2,AICc,avg,1,0.04,0.04,148.4132,1,1.4957,4.1276,1.2581,1.3321,0.9565
polynomial,1,0.5,0.25,AICc,avg,1,0.035,0.045,148.4132,1,1.4908,4.0933,1.285,1.3226,0.9852
polynomial,1,0.5,0.3,AICc,avg,1,0.05,0.05,148.4132,1,1.5046,4.1216,1.2613,1.3066,0.981
polynomial,1,0.5,0.4,AICc,avg,1,0.075,0.07,148.4132,1,1.5795,4.1053,1.2698,1.3248,0.9733
polynomial,1,0.5,0.5,AICc,avg,1,0.04,0.05,148.4132,1,1.5338,4.1086,1.2686,1.3227,0.9746
polynomial,1,0.5,0.6,AICc,avg,1,0.07,0.07,148.4132,1,1.4309,4.0853,1.2867,1.3158,0.9904
polynomial,1,0.5,0.7,AICc,avg,1,0.055,0.055,148.4132,1,1.4918,4.1341,1.2545,1.311,0.9695
polynomial,1,0.5,0.8,AICc,avg,1,0.05,0.04,148.4132,1,1.5058,4.1304,1.2556,1.3311,0.9573
polynomial,1,0.5,0.9,AICc,avg,1,0.04,0.035,148.4132,1,1.5255,4.149,1.2435,1.3055,0.9654
polynomial,1,0.5,1,AICc,avg,1,0.05,0.035,148.4132,1,1.559,4.0829,1.2858,1.3236,0.9854
polynomial,1,0.5,0,GCVc,avg,1,0.04,0.035,148.4132,1,1.6531,4.1372,1.2495,1.3249,0.9572
polynomial,1,0.5,0.05,GCVc,avg,1,0.045,0.035,148.4132,1,1.5746,4.1053,1.2706,1.3261,0.9718
polynomial,1,0.5,0.1,GCVc,avg,1,0.025,0.02,148.4132,1,1.671,4.1109,1.2647,1.3247,0.9723
polynomial,1,0.5,0.15,GCVc,avg,1,0.035,0.04,148.4132,1,1.6753,4.1229,1.2582,1.3263,0.9642
polynomial,1,0.5,0.2,GCVc,avg,1,0.055,0.04,148.4132,1,1.6338,4.1263,1.2569,1.354,0.9451
polynomial,1,0.5,0.25,GCVc,avg,1,0.075,0.07,148.4132,1,1.569,4.1303,1.2551,1.3211,0.9664
polynomial,1,0.5,0.3,GCVc,avg,1,0.075,0.07,148.4132,1,1.6483,4.1509,1.2389,1.3207,0.9535
polynomial,1,0.5,0.4,GCVc,avg,1,0.05,0.055,148.4132,1,1.7124,4.1046,1.2693,1.3427,0.9597
polynomial,1,0.5,0.5,GCVc,avg,1,0.055,0.05,148.4132,1,1.6187,4.1019,1.273,1.3341,0.969
polynomial,1,0.5,0.6,GCVc,avg,1,0.06,0.045,148.4132,1,1.5819,4.1308,1.2542,1.2985,0.9794
polynomial,1,0.5,0.7,GCVc,avg,1,0.05,0.04,148.4132,1,1.5043,4.1054,1.2723,1.327,0.974
polynomial,1,0.5,0.8,GCVc,avg,1,0.075,0.075,148.4132,1,1.5903,4.1116,1.266,1.3185,0.9754
polynomial,1,0.5,0.9,GCVc,avg,1,0.07,0.065,148.4132,1,1.592,4.115,1.2674,1.3285,0.9691
polynomial,1,0.5,1,GCVc,avg,1,0.035,0.03,148.4132,1,1.6642,4.0982,1.2747,1.3177,0.983
polynomial,1,0.5,0,gmpml,avg,1,0.055,0.045,148.4132,1,1.2707,4.1244,1.2645,1.3014,0.9843
polynomial,1,0.5,0.05,gmpml,avg,1,0.065,0.055,148.4132,1,1.2594,4.1233,1.2642,1.2999,0.9862
polynomial,1,0.5,0.1,gmpml,avg,1,0.035,0.04,148.4132,1,1.2441,4.0956,1.283,1.2994,1.0012
polynomial,1,0.5,0.15,gmpml,avg,1,0.05,0.06,148.4132,1,1.2735,4.0999,1.2809,1.3148,0.9917
