beta_int,b11,b12,b21,b22,e,n,linear,ridge
0,2,5,1,3,0.05,200,0.055,0.051
0,2,5,1,3,0.05,400,0.053,0.052
0,2,5,1,3,0.05,600,0.037,0.043
0,2,5,1,3,0.05,800,0.052,0.05
0,2,5,1,3,0.05,1000,0.056,0.057
0,6,15,3,9,0.05,200,0.045,0.047
0,6,15,3,9,0.05,400,0.049,0.048
0,6,15,3,9,0.05,600,0.056,0.058
0,6,15,3,9,0.05,800,0.049,0.048
0,6,15,3,9,0.05,1000,0.067,0.062
0,10,25,5,15,0.05,200,0.043,0.044
0,10,25,5,15,0.05,400,0.057,0.059
0,10,25,5,15,0.05,600,0.046,0.05
0,10,25,5,15,0.05,800,0.055,0.053
0,10,25,5,15,0.05,1000,0.045,0.045
0,20,50,10,30,0.05,200,0.049,0.049
0,20,50,10,30,0.05,400,0.052,0.05
0,20,50,10,30,0.05,600,0.063,0.061
0,20,50,10,30,0.05,800,0.063,0.06
0,20,50,10,30,0.05,1000,0.067,0.054
0.02,2,5,1,3,0.05,200,1,1
0.02,2,5,1,3,0.05,400,1,1
0.02,2,5,1,3,0.05,600,1,1
0.02,2,5,1,3,0.05,800,1,1
0.02,2,5,1,3,0.05,1000,1,1
0.02,6,15,3,9,0.05,200,1,1
0.02,6,15,3,9,0.05,400,1,1
0.02,6,15,3,9,0.05,600,1,1
0.02,6,15,3,9,0.05,800,1,1
0.02,6,15,3,9,0.05,1000,1,1
0.02,10,25,5,15,0.05,200,1,1
0.02,10,25,5,15,0.05,400,1,1
0.02,10,25,5,15,0.05,600,1,1
0.02,10,25,5,15,0.05,800,1,1
0.02,10,25,5,15,0.05,1000,1,1
0.02,20,50,10,30,0.05,200,1,1
0.02,20,50,10,30,0.05,400,1,1
0.02,20,50,10,30,0.05,600,1,1
0.02,20,50,10,30,0.05,800,1,1
0.02,20,50,10,30,0.05,1000,1,1
0.04,2,5,1,3,0.05,200,1,1
0.04,2,5,1,3,0.05,400,1,1
0.04,2,5,1,3,0.05,600,1,1
0.04,2,5,1,3,0.05,800,1,1
0.04,2,5,1,3,0.05,1000,1,1
0.04,6,15,3,9,0.05,200,1,1
0.04,6,15,3,9,0.05,400,1,1
0.04,6,15,3,9,0.05,600,1,1
0.04,6,15,3,9,0.05,800,1,1
0.04,6,15,3,9,0.05,1000,1,1
0.04,10,25,5,15,0.05,200,1,1
0.04,10,25,5,15,0.05,400,1,1
0.04,10,25,5,15,0.05,600,1,1
0.04,10,25,5,15,0.05,800,1,1
0.04,10,25,5,15,0.05,1000,1,1
0.04,20,50,10,30,0.05,200,1,1
0.04,20,50,10,30,0.05,400,1,1
0.04,20,50,10,30,0.05,600,1,1
0.04,20,50,10,30,0.05,800,1,1
0.04,20,50,10,30,0.05,1000,1,1
0.06,2,5,1,3,0.05,200,1,1
0.06,2,5,1,3,0.05,400,1,1
0.06,2,5,1,3,0.05,600,1,1
0.06,2,5,1,3,0.05,800,1,1
0.06,2,5,1,3,0.05,1000,1,1
0.06,6,15,3,9,0.05,200,1,1
0.06,6,15,3,9,0.05,400,1,1
0.06,6,15,3,9,0.05,600,1,1
0.06,6,15,3,9,0.05,800,1,1
0.06,6,15,3,9,0.05,1000,1,1
0.06,10,25,5,15,0.05,200,1,1
