V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
polynomial,1,0.5,0,loocv,avg,1,0.035,5e-04,1,4.9884,14.1965,0.0098,0.0119,0.841
polynomial,1,0.5,0.05,loocv,avg,1,0.75,5e-04,1,4.9888,14.1108,0.0102,0.0127,0.8292
polynomial,1,0.5,0.1,loocv,avg,1,1,6e-04,1,4.9849,13.9003,0.0113,0.0133,0.8646
polynomial,1,0.5,0.15,loocv,avg,1,1,9e-04,1,4.9779,13.6292,0.013,0.0148,0.885
polynomial,1,0.5,0.2,loocv,avg,1,1,0.0014,1,4.9675,13.3414,0.015,0.0169,0.8959
polynomial,1,0.5,0.25,loocv,avg,1,1,0.004,1,4.9367,13.0546,0.0173,0.019,0.9188
polynomial,1,0.5,0.3,loocv,avg,1,1,0.0053,1,4.9303,12.8215,0.0195,0.0218,0.9024
polynomial,1,0.5,0.4,loocv,avg,1,1,0.0045,1,4.8997,12.3572,0.0245,0.027,0.9169
polynomial,1,0.5,0.5,loocv,avg,1,1,0.0084,1,4.8269,11.9491,0.0301,0.0322,0.9474
polynomial,1,0.5,0.6,loocv,avg,1,1,0.0358,1,4.7827,11.6364,0.0352,0.0383,0.928
polynomial,1,0.5,0.7,loocv,avg,1,1,0.0214,1,4.6548,11.3411,0.0409,0.0439,0.9406
polynomial,1,0.5,0.8,loocv,avg,1,1,2.9942,1,4.5392,11.0939,0.0463,0.0499,0.9367
polynomial,1,0.5,0.9,loocv,avg,1,1,1.5144,1,4.4778,10.8434,0.0525,0.0552,0.96
polynomial,1,0.5,1,loocv,avg,1,1,0.8105,1,4.387,10.6504,0.0579,0.0614,0.9533
polynomial,1,0.5,0,AICc,avg,1,0.02,4e-04,1,4.9894,14.1776,0.0099,0.0118,0.8538
polynomial,1,0.5,0.05,AICc,avg,1,0.76,4e-04,1,4.9895,14.121,0.0101,0.0122,0.8484
polynomial,1,0.5,0.1,AICc,avg,1,1,6e-04,1,4.9852,13.91,0.0113,0.0134,0.8536
polynomial,1,0.5,0.15,AICc,avg,1,1,7e-04,1,4.9821,13.6371,0.0129,0.0148,0.8815
polynomial,1,0.5,0.2,AICc,avg,1,1,8e-04,1,4.9801,13.3339,0.0151,0.017,0.8983
