V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
polynomial,1,0.5,0,loocv,avg,1,0.07,5e-04,1,4.9885,14.1765,0.0099,0.0119,0.8502
polynomial,1,0.5,0.05,loocv,avg,1,0.745,4e-04,1,4.9906,14.1194,0.0102,0.0123,0.8448
polynomial,1,0.5,0.1,loocv,avg,1,1,7e-04,1,4.9833,13.8909,0.0114,0.0133,0.8664
polynomial,1,0.5,0.15,loocv,avg,1,1,0.0011,1,4.974,13.6214,0.013,0.015,0.8823
polynomial,1,0.5,0.2,loocv,avg,1,0.995,0.0012,1,4.9713,13.3332,0.015,0.0169,0.8977
polynomial,1,0.5,0.25,loocv,avg,1,1,0.0019,1,4.9548,13.0403,0.0174,0.0192,0.9161
polynomial,1,0.5,0.3,loocv,avg,1,1,0.0043,1,4.9197,12.7761,0.0199,0.0214,0.9399
polynomial,1,0.5,0.4,loocv,avg,1,1,0.7472,1,4.8646,12.3383,0.0248,0.0268,0.9346
polynomial,1,0.5,0.5,loocv,avg,1,1,0.0076,1,4.8345,11.9487,0.0301,0.0322,0.9449
polynomial,1,0.5,0.6,loocv,avg,1,0.995,0.0306,1,4.7734,11.6502,0.035,0.0384,0.9218
polynomial,1,0.5,0.7,loocv,avg,1,1,0.0234,1,4.6841,11.3289,0.0411,0.0434,0.9585
polynomial,1,0.5,0.8,loocv,avg,1,1,0.0203,1,4.6734,11.0941,0.0463,0.0495,0.9432
polynomial,1,0.5,0.9,loocv,avg,1,1,1.5026,1,4.5935,10.8456,0.0524,0.055,0.9649
polynomial,1,0.5,1,loocv,avg,1,1,0.7813,1,4.4681,10.6747,0.0572,0.0621,0.9312
polynomial,1,0.5,0,AICc,avg,1,0.055,4e-04,1,4.9906,14.199,0.0098,0.0119,0.8377
polynomial,1,0.5,0.05,AICc,avg,1,0.82,4e-04,1,4.9891,14.1,0.0103,0.0124,0.8446
polynomial,1,0.5,0.1,AICc,avg,1,1,6e-04,1,4.985,13.8972,0.0113,0.0134,0.8618
polynomial,1,0.5,0.15,AICc,avg,1,1,7e-04,1,4.9823,13.6293,0.013,0.0149,0.8796
polynomial,1,0.5,0.2,AICc,avg,1,1,9e-04,1,4.9783,13.3361,0.015,0.017,0.8978
polynomial,1,0.5,0.25,AICc,avg,1,0.995,0.0015,1,4.9644,13.0584,0.0173,0.0192,0.911
polynomial,1,0.5,0.3,AICc,avg,1,1,0.0017,1,4.9598,12.8009,0.0196,0.0219,0.9054
polynomial,1,0.5,0.4,AICc,avg,1,1,0.0028,1,4.934,12.3464,0.0247,0.027,0.9231
polynomial,1,0.5,0.5,AICc,avg,1,0.995,0.0041,1,4.9063,11.9557,0.03,0.0324,0.9374
polynomial,1,0.5,0.6,AICc,avg,1,1,0.0062,1,4.8637,11.6367,0.0352,0.0381,0.9338
polynomial,1,0.5,0.7,AICc,avg,1,1,0.0073,1,4.8447,11.3295,0.0411,0.0437,0.9495
polynomial,1,0.5,0.8,AICc,avg,1,1,0.0119,1,4.7718,11.0705,0.0468,0.0493,0.9576
polynomial,1,0.5,0.9,AICc,avg,1,1,0.7623,1,4.709,10.8633,0.0519,0.0555,0.9443
polynomial,1,0.5,1,AICc,avg,1,1,1.5013,1,4.6436,10.6571,0.0575,0.0612,0.9481
polynomial,1,0.5,0,GCVc,avg,1,0.045,4e-04,1,4.9903,14.1828,0.0098,0.012,0.8426
polynomial,1,0.5,0.05,GCVc,avg,1,0.78,5e-04,1,4.988,14.0981,0.0103,0.0122,0.86
polynomial,1,0.5,0.1,GCVc,avg,1,1,6e-04,1,4.9856,13.9033,0.0113,0.0131,0.8754
polynomial,1,0.5,0.15,GCVc,avg,1,1,7e-04,1,4.9829,13.6215,0.013,0.0147,0.895
polynomial,1,0.5,0.2,GCVc,avg,1,1,9e-04,1,4.9783,13.3384,0.015,0.0172,0.8827
polynomial,1,0.5,0.25,GCVc,avg,1,1,9e-04,1,4.9774,13.0539,0.0173,0.019,0.9187
polynomial,1,0.5,0.3,GCVc,avg,1,1,0.0015,1,4.9648,12.8103,0.0196,0.0216,0.9142
polynomial,1,0.5,0.4,GCVc,avg,1,1,0.0032,1,4.9294,12.3365,0.0248,0.0267,0.9396
polynomial,1,0.5,0.5,GCVc,avg,1,0.99,0.005,1,4.8979,11.9543,0.03,0.0324,0.9366
polynomial,1,0.5,0.6,GCVc,avg,1,0.99,0.0059,1,4.8778,11.6321,0.0353,0.0381,0.9363
polynomial,1,0.5,0.7,GCVc,avg,1,1,0.0198,1,4.8418,11.3304,0.041,0.0437,0.9478
polynomial,1,0.5,0.8,GCVc,avg,1,1,1.4959,1,4.7646,11.093,0.0463,0.0496,0.9425
polynomial,1,0.5,0.9,GCVc,avg,1,1,0.7513,1,4.7763,10.8722,0.0516,0.0557,0.9363
polynomial,1,0.5,1,GCVc,avg,1,1,0.0214,1,4.6528,10.6584,0.0575,0.0613,0.947
polynomial,1,0.5,0,gmpml,avg,1,0.055,4e-04,1,4.9897,14.1801,0.0098,0.0117,0.8586
polynomial,1,0.5,0.05,gmpml,avg,1,0.72,5e-04,1,4.9874,14.1063,0.0102,0.0124,0.8411
polynomial,1,0.5,0.1,gmpml,avg,1,1,5e-04,1,4.9871,13.8998,0.0113,0.0134,0.8584
polynomial,1,0.5,0.15,gmpml,avg,1,1,9e-04,1,4.9785,13.635,0.0129,0.015,0.8761
polynomial,1,0.5,0.2,gmpml,avg,1,1,0.001,1,4.9767,13.3487,0.0149,0.0171,0.8827
polynomial,1,0.5,0.25,gmpml,avg,1,0.995,0.0015,1,4.9649,13.0619,0.0172,0.0191,0.9136
polynomial,1,0.5,0.3,gmpml,avg,1,1,0.0019,1,4.9547,12.7967,0.0197,0.0216,0.9226
polynomial,1,0.5,0.4,gmpml,avg,1,0.985,0.0033,1,4.9237,12.3237,0.0249,0.0267,0.941
polynomial,1,0.5,0.5,gmpml,avg,1,1,0.0052,1,4.8863,11.9538,0.03,0.0323,0.9359
polynomial,1,0.5,0.6,gmpml,avg,1,1,0.7485,1,4.8375,11.6343,0.0353,0.0387,0.9205
polynomial,1,0.5,0.7,gmpml,avg,1,1,0.0165,1,4.7782,11.338,0.0409,0.0439,0.9412
polynomial,1,0.5,0.8,gmpml,avg,1,1,0.7552,1,4.7343,11.0846,0.0465,0.0499,0.9405
polynomial,1,0.5,0.9,gmpml,avg,1,1,0.7605,1,4.6849,10.8516,0.0522,0.0565,0.9358
polynomial,1,0.5,1,gmpml,avg,1,1,2.2693,1,4.5665,10.6801,0.057,0.0632,0.9124
polynomial,2,1,0,loocv,avg,1,0.075,3e-04,1,10.9537,14.1401,0.0096,0.0138,0.7181
polynomial,2,1,0.05,loocv,avg,1,0.28,4e-04,1,10.9359,14.059,0.01,0.0147,0.7085
polynomial,2,1,0.1,loocv,avg,1,0.54,6e-04,1,10.909,13.8947,0.0109,0.0161,0.7011
